test_id,Vin_V,D,load_fraction,Rload_Ohm,ccm_margin_A,status,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,NIS_V_mean,NIS_V_median,NIS_V_p95,gate_V_rejected_fraction,NIS_C_mean,NIS_C_p95,gate_C_rejected_fraction,NIS_R_mean,NIS_R_p95,gate_R_rejected_fraction
1,19.2,0.25,0.1,100,-0.147760614851999,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
2,19.2,0.25,0.25,40,-0.0947186412784787,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
3,19.2,0.25,0.5,20,-0.0378428045249478,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
4,19.2,0.25,0.75,13.3333333333333,0.0186548461022649,PASS,0.000100053450577721,0.0534505777206817,0.0494058692762342,1.18826144753159,3.95e-05,0.0114127369930557,2.38759909632849e-06,0.034806193461017,0.004,0.00409861715884289,0.00206457562535593,0,0.00301050829166655,0.00993531018533224,0
5,19.2,0.25,1,10,0.074806992369539,PASS,0.000100030038826522,0.0300388265220608,0.0495678758250298,0.864248349940466,3.95e-05,0.0187924782965164,1.33967498982922e-06,0.0995449819372324,0.004,0.00367103263924422,0.00115820883894661,0,0.00282776497540825,0.00833033219090174,0
6,19.2,0.35,0.1,100,-0.111714293277217,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
7,19.2,0.35,0.25,40,-0.0253933548379766,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
8,19.2,0.35,0.5,20,0.118052545138235,PASS,0.000100011935372658,0.0119353726582005,0.0496233784874224,0.753243025155248,2.65e-05,0.0187778365684999,2.7293270220792e-06,0.0620735481854457,0.004,0.00387070098593623,0.00212472200506269,0,0.00389127902844483,0.0131983043656035,0
9,19.2,0.35,0.75,13.3333333333333,0.261000854485275,PASS,0.000100005217802744,0.00521780274385097,0.0497589145457161,0.482170908567714,2.65e-05,0.037595948835741,1.34928080036138e-06,0.230469243958751,0.004,0.0034897030185931,0.00106749237328538,0,0.00335989841239574,0.0101118667930135,0
10,19.2,0.35,1,10,0.403483048612918,PASS,0.000100002977112422,0.00297711242169818,0.0498300342785017,0.339931442996566,2.65e-05,0.063614960860042,8.75684988396724e-07,0.544300652071355,0.004,0.00334664295276929,0.000643611937325389,0,0.00304460258682592,0.00809858400032205,0
11,19.2,0.45,0.1,100,-0.199951286784956,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
12,19.2,0.45,0.25,40,0.00509755065252405,PASS,9.9992389715843e-05,0.00761028415703358,0.0498100698278935,0.379860344212912,2.8e-05,0.0480068106919526,2.29734994614126e-06,0.283341120618817,0.196,0.00343898195213723,0.000838253206387177,0.193548387096774,0.0059305167554097,0.0151073286994902,0.19277
13,19.2,0.45,0.5,20,0.344901709391013,PASS,9.99983548126586e-05,0.00164518734142582,0.0498616291234356,0.276741753128862,2.8e-05,0.0568701399764903,1.08769613102448e-06,0.26647055785622,0.004,0.00338273660104878,0.000870918316336572,0,0.00431085894616919,0.0139839477377884,0
14,19.2,0.45,0.75,13.3333333333333,0.68242118388862,PASS,9.99993763851143e-05,0.000623614885719714,0.0499208888223939,0.158222355212123,2.8e-05,0.117410456804872,6.77824391012272e-07,0.917796707805811,0.004,0.00327198748003369,0.000463328652205202,0,0.00352742082844197,0.0099724293549361,0
15,19.2,0.45,1,10,1.01780944224823,PASS,9.99997250438159e-05,0.000274956184054265,0.0499495438227853,0.100912354429428,2.8e-05,0.215726062768814,4.94790193719929e-07,1.7769670409606,0.00621052631578944,0.00322176075336399,0.000274823029400876,0,0.00309311244175782,0.0075230388072844,0
16,19.2,0.55,0.1,100,-0.270221231113563,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
17,19.2,0.55,0.25,40,0.190881896855,PASS,9.99982257750797e-05,0.00177422492030344,0.0499714423329109,0.0571153341781261,3e-05,0.0551114900491929,3.77704252598047e-06,0.174263223747968,0.004,0.00385079985526017,0.00188456654924061,0,0.00577595485281299,0.0146982275091479,0
18,19.2,0.55,0.5,20,0.821633257640126,PASS,9.99990902791096e-05,0.000909720890429622,0.0499791209003192,0.0417581993615745,3e-05,0.201867259001461,1.12609640003138e-06,1.29265269079161,0.00705263157894742,0.00334784798244356,0.000493119845982371,0,0.00427049558529566,0.0116615474189345,0
19,19.2,0.55,0.75,13.3333333333333,1.4120602092567,PASS,9.99996351201635e-05,0.000364879836500798,0.0499960342012697,0.00793159746061978,3e-05,0.584236546661337,5.48096237353322e-07,5.43890228407337,0.0249473684210526,0.00323935736985404,0.000211814672002647,0,0.00355342076271123,0.00798040379464901,0
20,19.2,0.55,1,10,1.99953782269166,PASS,9.99998087250735e-05,0.000191274926519824,0.0499993324172365,0.00133516552697222,3e-05,1.50219208446507,3.74586192701425e-07,10.7915825931768,0.0845263157894737,0.00320025400921306,0.000119975910465849,0,0.00320077388590544,0.00676945863996524,0
21,19.2,0.65,0.1,100,-0.140311084384347,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
22,19.2,0.65,0.25,40,0.421868914186415,PASS,0.000100002698406973,0.0026984069734004,0.0500723658400593,0.144731680118593,3.25e-05,0.237657672453355,3.81548225340066e-06,1.19372470946706,0.00936842105263158,0.00408023536574888,0.00212642316749541,0,0.00604141567791347,0.0161544317229141,0
23,19.2,0.65,0.5,20,1.34979863148904,PASS,0.000100000603249178,0.000603249177655307,0.0500405676151333,0.0811352302665602,3.25e-05,1.54689730521774,1.14777749366513e-06,10.963136196018,0.0868421052631579,0.00338297528074952,0.000563043302365036,0,0.0046418531175863,0.0129864836782618,0
24,19.2,0.65,0.75,13.3333333333333,2.24295815700904,PASS,0.000100000196598142,0.000196598141699589,0.0500253725392925,0.0507450785849128,3.25e-05,4.91432731114933,6.52367042317021e-05,22.0744195078995,0.267578947368421,0.00325421276569767,0.000256211947314913,0,0.00410672706084155,0.0114863773658732,0
25,19.2,0.65,1,10,3.12215382261995,PASS,0.000100000068078159,6.80781586215318e-05,0.0500197005917404,0.039401183480714,3.25e-05,294.117090498005,41.3203783403926,1023.46034573189,0.661052631578947,0.00320907390365663,0.000148882900417944,0,0.00380428313510555,0.0109872281911605,0
26,24,0.25,0.1,100,-0.184700768564901,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
27,24,0.25,0.25,40,-0.118398301598209,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
28,24,0.25,0.5,20,-0.0473035056561182,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
29,24,0.25,0.75,13.3333333333333,0.0233185576277042,PASS,0.000100060998383567,0.0609983835665462,0.0493929763465762,1.21404730684751,3.95e-05,0.0178916279554399,3.87304663500148e-06,0.0553036939074514,0.004,0.00471922895407247,0.00342307107654456,0,0.00370332516835941,0.0143992765728594,0
30,24,0.25,1,10,0.0935087404617564,PASS,0.000100034700816901,0.0347008169013119,0.0495644984489986,0.871003102002721,2.45e-05,0.0293484665964926,2.15550133214409e-06,0.153982149736342,0.004,0.00400937595889893,0.00189340026352993,0,0.00340747332876473,0.0117019991263441,0
31,24,0.35,0.1,100,-0.139642866596405,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
32,24,0.35,0.25,40,-0.031741693547229,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
33,24,0.35,0.5,20,0.147565681422725,PASS,0.000100015319000934,0.015319000934455,0.049616435739698,0.767128520603999,2.65e-05,0.0294109474574485,4.4619084285127e-06,0.0956154771365761,0.004,0.00442181249026596,0.00384005294021764,0,0.00498331184571942,0.0194140635099311,0
34,24,0.35,0.75,13.3333333333333,0.326251068106652,PASS,0.000100006767686688,0.00676768668781413,0.0497642096398228,0.471580720354359,2.65e-05,0.0586002730163198,2.14193535014412e-06,0.357001051157084,0.004,0.00372973888369504,0.00183225829244635,0,0.00413242670218697,0.014043951838984,0
35,24,0.35,1,10,0.504353810765936,PASS,0.000100003846862096,0.00384686209591312,0.0498380352137622,0.323929572475679,2.65e-05,0.0989655583996759,1.39972905393469e-06,0.846284679390597,0.004,0.0034773296988149,0.0010691436333074,0,0.00364835384418967,0.0106914384535534,0
36,24,0.45,0.1,100,-0.249939108481159,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
37,24,0.45,0.25,40,0.00637193831545259,PASS,9.99951583310115e-05,0.00484166898852001,0.0497807058618193,0.438588276361396,2.8e-05,0.0751287123299101,4.9016798099341e-06,0.44333531415586,0.196,0.00374744260023365,0.00187862839880301,0.193548387096774,0.00824308241490033,0.0235145818326466,0.19277
38,24,0.45,0.5,20,0.431127136738827,PASS,9.99990858467195e-05,0.000914153280462404,0.0498665627204514,0.266874559097285,2.8e-05,0.0886210663558905,1.79048272166187e-06,0.412401184447322,0.004,0.00358534946959617,0.00166376004857971,0,0.00548398069922594,0.020101444885574,0
39,24,0.45,0.75,13.3333333333333,0.853026479861324,PASS,9.99997324316111e-05,0.000267568388900852,0.0499284104454447,0.143179109110558,2.8e-05,0.197871743558564,1.09248790379384e-06,1.47058894953837,0.00621052631578944,0.00336162756189713,0.000812360057504907,0,0.00428622620157913,0.0127922666313017,0
