voltage_architecture,architecture_name,ADC_mode,nominal_bits,ENOB,fs_adc_Hz,operating_case,C_F,ESR_Ohm,LSB_edge_plant_V,LSB_C_plant_V,ESR_edge_codes,C_charge_window_codes,RMS_noise_codes,ESR_code_risk,C_code_risk,edge_plant_span_V,C_plant_span_V,vT_baseline_V,separate_edge_channel
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,8e-05,0.05,0.0244200244200244,0.0244200244200244,10.4979820637399,11.2664707152007,0.816496580927726,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,8e-05,0.075,0.0244200244200244,0.0244200244200244,15.7469730956098,11.2664707152007,0.816496580927726,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,8e-05,0.1,0.0244200244200244,0.0244200244200244,20.9959641274797,11.2664707152007,0.816496580927726,CANDIDATE_GE16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,9e-05,0.05,0.0244200244200244,0.0244200244200244,10.4979820637399,10.014640635734,0.816496580927726,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,9e-05,0.075,0.0244200244200244,0.0244200244200244,15.7469730956098,10.014640635734,0.816496580927726,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,9e-05,0.1,0.0244200244200244,0.0244200244200244,20.9959641274797,10.014640635734,0.816496580927726,CANDIDATE_GE16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,0.0001,0.05,0.0244200244200244,0.0244200244200244,10.4979820637399,9.01317657216058,0.816496580927726,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,0.0001,0.075,0.0244200244200244,0.0244200244200244,15.7469730956098,9.01317657216058,0.816496580927726,QUANTIZATION_SENSITIVE_4_TO_16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_load,0.0001,0.1,0.0244200244200244,0.0244200244200244,20.9959641274797,9.01317657216058,0.816496580927726,CANDIDATE_GE16,QUANTIZATION_SENSITIVE_4_TO_16,100,100,39.8106183400511,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,8e-05,0.05,0.0244200244200244,0.0244200244200244,32.8740343627139,33.0857273358288,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
V1,wide_range_vT,native_12bit_highspeed,12,10.5,4000000,high_D,8e-05,0.075,0.0244200244200244,0.0244200244200244,49.3110515440709,33.0857273358288,0.816496580927726,CANDIDATE_GE16,CANDIDATE_GE16,100,100,68.3499448770754,0
