path_id,ADC_mode,voltage_architecture,nominal_bits,ENOB,fs_adc_Hz,operating_case,Vin_V,D,load,C_true_F,ESR_true_Ohm,I_sum_A,edge_ESR_signal_mV,charge_C_signal_mV,current_full_scale_A,multi_cycle,calibration_level,locked_guard_us,locked_window_us,locked_points_per_side,sampling_geometry_feasible,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,C_bias_percent,ESR_bias_percent,NEES,CI_C_95_coverage,CI_ESR_95_coverage,convergence_cycles,accepted_edge_updates,accuracy_pass
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,nominal,24,0.4,nominal,9e-05,0.1,2.44849853028756,244.849853028756,116.08676095351,20,1024,Cal3,0.2,1.5,6,1,9.63219425780949e-05,0.0986702866431884,17.0505393094725,8.42435244388644,7.02438064232764,-1.32971335681163,209.405982710947,0.225,0.2,286,1023.325,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,nominal,24,0.4,nominal,0.0001,0.05,2.44849853028756,122.424926514378,104.478084858159,20,1024,Cal3,0.2,1.5,6,1,0.000106452266449426,0.0495214468779435,17.7705328486845,13.8593044921033,6.45226644942625,-0.957106244113048,305.611905141507,0.4,0.4,353,1022.3,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,nominal,24,0.4,nominal,0.0001,0.075,2.44849853028756,183.637389771567,104.478084858159,20,1024,Cal3,0.2,1.5,6,1,0.000104360221471216,0.0748503049048382,16.5090549415778,9.57876435188446,4.36022147121591,-0.19959346021573,225.805088620444,0.3,0.325,353,1023,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,nominal,24,0.4,nominal,0.0001,0.1,2.44849853028756,244.849853028756,104.478084858159,20,1024,Cal3,0.2,1.5,6,1,9.63423050512858e-05,0.103449839540794,15.9491544451787,8.07419199860817,-3.65769494871419,3.44983954079383,215.001518219867,0.25,0.25,353,1022.15,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,8e-05,0.05,5.12721956715012,256.360978357506,275.127489992692,20,1024,Cal3,0.2,1.5,6,1,7.98900435266088e-05,0.050479064978093,7.88969134432778,9.04216065162903,-0.137445591739005,0.958129956186093,110.85735281909,0.15,0.15,51,1022.125,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,8e-05,0.075,5.12721956715012,384.541467536259,275.127489992692,20,1024,Cal3,0.2,1.5,6,1,7.89084738129617e-05,0.0761587088094389,5.65955158385564,4.4270700410544,-1.36440773379792,1.54494507925187,53.4394023576853,0.375,0.375,51,1022.875,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,8e-05,0.1,5.12721956715012,512.721956715012,275.127489992692,20,1024,Cal3,0.2,1.5,6,1,7.96300737010135e-05,0.0997028813688684,7.87140436046202,1.97018288319249,-0.462407873733128,-0.297118631131632,53.1553998440886,0.15,0.575,51,1022.225,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,9e-05,0.05,5.12721956715012,256.360978357506,244.557768882392,20,1024,Cal3,0.2,1.5,6,1,9.16887197046296e-05,0.0494581291626721,7.21682715651087,7.20850790361564,1.87635522736627,-1.08374167465587,108.034567066608,0.375,0.375,65,1023.6,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,9e-05,0.075,5.12721956715012,384.541467536259,244.557768882392,20,1024,Cal3,0.2,1.5,6,1,9.17480488122562e-05,0.0745258879044808,7.36254432747955,5.0125947716926,1.94227645806242,-0.632149460692344,79.3019556703733,0.35,0.35,65,1021.475,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,high_load,24,0.4,high,9e-05,0.1,5.12721956715012,512.721956715012,244.557768882392,20,1024,Cal3,0.2,1.5,6,1,9.21529381962399e-05,0.0998131042021602,7.75779370147889,1.59433485851049,2.3921535513777,-0.186895797839759,55.8568097010146,0.25,0.75,65,1023.025,0
