transient_margin,max_observed_current_A,minimum_full_scale_A,engineering_full_scale_A,peak_code_utilization_fraction
1.25,10.8769073313944,13.596134164243,15,0.725127155426296
1.5,10.8769073313944,16.3153609970917,20,0.543845366569722
2,10.8769073313944,21.7538146627889,25,0.435076293255777
