estimator_variant,data_policy,double_counting_flag,gain_mask_used,C_MAPE_mean_percent,ESR_MAPE_mean_percent,NEES_param_mean,CI_C_95_coverage,CI_ESR_95_coverage,P_alpha_final_median,P_ESR_final_median,NIS_V_mean,NIS_C_mean,NIS_R_mean,seed_count
masked_v2,disjoint,0,1,0.34297161285492,0.160339127590321,0.791634511026798,1,1,9.53357160958985e-05,1.19579620920223e-07,0.276694296910539,0.982865934995363,0.826126527457785,24
full_ltv,disjoint,0,0,0.309738964111064,0.179676654716258,0.781721037299801,1,1,9.38750023270226e-05,1.18451151377546e-07,0.276552940621201,0.982489493975514,0.825796707300877,24
conditional_structured,disjoint,0,0,0.309219065182097,0.160339127590321,0.769895082704864,1,1,9.38582569180301e-05,1.19579620920223e-07,0.275103798146143,0.982183412708407,0.826126527457785,24
masked_v2,overlap,1,1,0.181824985570165,0.160339127590321,0.834823004891991,1,1,5.79819463177423e-05,1.19579620920223e-07,0.36486658443419,0.947911830184331,0.826126527457785,24
full_ltv,overlap,1,0,0.158547710076813,0.23821417468422,0.952066633097597,1,1,5.70975883576338e-05,1.03280697344709e-07,0.36861303453127,0.942152479290469,0.846377069307124,24
conditional_structured,overlap,1,0,0.157014218459188,0.160339127590321,0.817571483079868,1,1,5.71033198568493e-05,1.19579620920223e-07,0.365387148380228,0.94667542618569,0.826126527457785,24
