fs_adc_Hz,adc_bits,afe_order,afe_fc_v_Hz,afe_fc_i_Hz,phase_accuracy_pass_fraction,phase_robust_alias_pass_fraction,worst_C_MAPE_percent,worst_ESR_MAPE_percent,worst_alias_ratio_dB,minimum_points_per_side
400000,16,1,3000000,250000,0,0,4.58137234787277,20,-17.4921523328833,0
400000,16,1,3000000,500000,0,0,3.57938041766335,20,-17.4921523328833,0
400000,16,1,3000000,1000000,0,0,3.80930114172757,20,-17.4921523328833,0
400000,16,1,3000000,2000000,0,0,3.16115693723285,20,-17.4921523328833,0
400000,16,2,250000,250000,0,0,5.67456644072413,20,-23.5993583844715,0
400000,16,2,250000,500000,0,0,6.56606397206611,20,-23.5993583844715,0
400000,16,2,250000,1000000,0,0,7.17405733618934,20,-23.5993583844715,0
400000,16,2,250000,2000000,0,0,7.16401149252128,20,-23.5993583844715,0
400000,16,2,500000,250000,0,0,8.43994028113881,20,-19.7017837587227,0
400000,16,2,500000,500000,0,0,7.10005463200465,20,-19.7017837587227,0
400000,16,2,500000,1000000,0,0,6.26655174376995,20,-19.7017837587227,0
400000,16,2,500000,2000000,0,0,6.73621064311107,20,-19.7017837587227,0
400000,16,2,1000000,250000,0,0,4.72406570095991,20,-18.2212394065471,0
400000,16,2,1000000,500000,0,0,3.7746546192386,20,-18.2212394065471,0
400000,16,2,1000000,1000000,0,0,2.94192663200281,20,-18.2212394065471,0
400000,16,2,1000000,2000000,0,0,2.34892452419335,20,-18.2212394065471,0
400000,16,2,1500000,250000,0,0,5.27880522645581,20,-17.8031167327684,0
400000,16,2,1500000,500000,0,0,4.11538575251094,20,-17.8031167327684,0
400000,16,2,1500000,1000000,0,0,3.34208449990314,20,-17.8031167327684,0
400000,16,2,1500000,2000000,0,0,2.69110371670049,20,-17.8031167327684,0
400000,16,2,2000000,250000,0,0,6.13527407354508,20,-17.6048344326614,0
400000,16,2,2000000,500000,0,0,4.57435957193295,20,-17.6048344326614,0
400000,16,2,2000000,1000000,0,0,3.65323747137867,20,-17.6048344326614,0
400000,16,2,2000000,2000000,0,0,3.17198923895368,20,-17.6048344326614,0
400000,16,2,3000000,250000,0,0,5.37160608859866,20,-17.4100100889391,0
400000,16,2,3000000,500000,0,0,3.68010616171366,20,-17.4100100889391,0
400000,16,2,3000000,1000000,0,0,3.44660321078205,20,-17.4100100889391,0
400000,16,2,3000000,2000000,0,0,3.80154636130745,20,-17.4100100889391,0
800000,14,1,250000,250000,0,0,4.22945894532724,20,-29.0553467259106,0
800000,14,1,250000,500000,0,0,3.85339215482566,20,-29.0553467259106,0
800000,14,1,250000,1000000,0,0,2.11512404399393,20,-29.0553467259106,0
800000,14,1,250000,2000000,0,0,2.20217735833979,20,-29.0553467259106,0
800000,14,1,500000,250000,0,0,13.7817612869812,20,-24.9807253597941,0
800000,14,1,500000,500000,0,0,13.8838533065971,20,-24.9807253597941,0
800000,14,1,500000,1000000,0,0,14.5417608512141,20,-24.9807253597941,0
800000,14,1,500000,2000000,0,0,13.8086826287986,20,-24.9807253597941,0
800000,14,1,1000000,250000,0,0,2.80116787296344,20,-22.4058693016764,0
800000,14,1,1000000,500000,0,0,3.95317883423512,20,-22.4058693016764,0
800000,14,1,1000000,1000000,0,0,3.48367997645822,20,-22.4058693016764,0
800000,14,1,1000000,2000000,0,0,3.51001359966402,20,-22.4058693016764,0
800000,14,1,1500000,250000,0,0,2.44319604526201,20,-21.4880116960114,0
800000,14,1,1500000,500000,0,0,2.20494401045899,20,-21.4880116960114,0
800000,14,1,1500000,1000000,0,0,2.27581835639188,20,-21.4880116960114,0
800000,14,1,1500000,2000000,0,0,2.38189455425494,20,-21.4880116960114,0
800000,14,1,2000000,250000,0,0,2.19897210931467,20,-21.0188187270496,0
800000,14,1,2000000,500000,0,0,2.15556906516441,20,-21.0188187270496,0
800000,14,1,2000000,1000000,0,0,2.61037764814039,20,-21.0188187270496,0
800000,14,1,2000000,2000000,0,0,3.0661488226694,20,-21.0188187270496,0
800000,14,1,3000000,250000,0,0,2.28991169841256,20,-20.5372540064435,0
800000,14,1,3000000,500000,0,0,3.02375967067589,20,-20.5372540064435,0
800000,14,1,3000000,1000000,0,0,2.6799617337542,20,-20.5372540064435,0
800000,14,1,3000000,2000000,0,0,2.64423808309264,20,-20.5372540064435,0
800000,14,2,250000,250000,0,0,2.91764895048932,20,-34.4990818665487,0
800000,14,2,250000,500000,0,0,4.49644427466125,20,-34.4990818665487,0
800000,14,2,250000,1000000,0,0,5.18087762058275,20,-34.4990818665487,0
800000,14,2,250000,2000000,0,0,5.97250861339063,20,-34.48484543135,0
800000,14,2,500000,250000,0,0,5.94554189665706,20,-25.8440497575857,0
800000,14,2,500000,500000,0,0,3.2064923222954,20,-25.8440497575857,0
800000,14,2,500000,1000000,0,0,2.58490647943067,20,-25.8440497575857,0
800000,14,2,500000,2000000,0,0,2.68062285935478,20,-25.8440497575857,0
800000,14,2,1000000,250000,0,0,5.27766173919229,20,-22.1352626152756,0
800000,14,2,1000000,500000,0,0,4.11493581840547,20,-22.1352626152756,0
800000,14,2,1000000,1000000,0,0,3.46693913213636,20,-22.1352626152756,0
800000,14,2,1000000,2000000,0,0,4.0206119339012,20,-22.1352626152756,0
800000,14,2,1500000,250000,0,0,1.70701399348515,20,-21.2084573342894,0
800000,14,2,1500000,500000,0,0,2.16936269695188,20,-21.2084573342894,0
800000,14,2,1500000,1000000,0,0,2.03237720951818,20,-21.2084573342894,0
800000,14,2,1500000,2000000,0,0,1.72215023180324,20,-21.2084573342894,0
800000,14,2,2000000,250000,0,0,1.70237315523062,20,-20.7946412442053,0
800000,14,2,2000000,500000,0,0,2.65671786956286,20,-20.7946412442053,0
800000,14,2,2000000,1000000,0,0,2.54356941601207,20,-20.7946412442053,0
800000,14,2,2000000,2000000,0,0,2.4952900765241,20,-20.7946412442053,0
800000,14,2,3000000,250000,0,0,1.50866993771794,20,-20.4043024706064,0
800000,14,2,3000000,500000,0,0,2.77946622979169,20,-20.4043024706064,0
800000,14,2,3000000,1000000,0,0,3.36804881095538,20,-20.4043024706064,0
800000,14,2,3000000,2000000,0,0,3.00143389170631,20,-20.4043024706064,0
800000,16,1,250000,250000,0,0,4.27294655946098,20,-29.0553467259106,0
800000,16,1,250000,500000,0,0,3.0950816021678,20,-29.0553467259106,0
800000,16,1,250000,1000000,0,0,2.77500791766243,20,-29.0553467259106,0
800000,16,1,250000,2000000,0,0,1.81892865259451,20,-29.0553467259106,0
800000,16,1,500000,250000,0,0,10.3429516031889,20,-24.9807253597941,0
800000,16,1,500000,500000,0,0,7.77148481585967,20,-24.9807253597941,0
800000,16,1,500000,1000000,0,0,6.20439844576961,20,-24.9807253597941,0
800000,16,1,500000,2000000,0,0,6.03696847109829,20,-24.9807253597941,0
800000,16,1,1000000,250000,0,0,1.44023565207396,20,-22.4058693016764,0
800000,16,1,1000000,500000,0,0,2.64601839082952,20,-22.4058693016764,0
800000,16,1,1000000,1000000,0,0,2.96813476398505,20,-22.4058693016764,0
800000,16,1,1000000,2000000,0,0,2.65989829909179,20,-22.4058693016764,0
800000,16,1,1500000,250000,0,0,1.23631939592387,20,-21.4880116960114,0
800000,16,1,1500000,500000,0,0,2.00912046924293,20,-21.4880116960114,0
800000,16,1,1500000,1000000,0,0,0.990907388627371,20,-21.4880116960114,0
800000,16,1,1500000,2000000,0,0,1.51218490512077,20,-21.4880116960114,0
800000,16,1,2000000,250000,0,0,0.689533704558154,20,-21.0188187270496,0
800000,16,1,2000000,500000,0,0,1.37287572691579,20,-21.0188187270496,0
800000,16,1,2000000,1000000,0,0,1.34735785293983,20,-21.0188187270496,0
800000,16,1,2000000,2000000,0,0,1.44174532677844,20,-21.0188187270496,0
800000,16,1,3000000,250000,0,0,0.481997419631119,20,-20.5372540064435,0
800000,16,1,3000000,500000,0,0,1.3956987441774,20,-20.5372540064435,0
800000,16,1,3000000,1000000,0,0,1.67006745677603,20,-20.5372540064435,0
800000,16,1,3000000,2000000,0,0,1.066176756696,20,-20.5372540064435,0
800000,16,2,250000,250000,0,0,3.35624231601632,20,-34.4990818665487,0
800000,16,2,250000,500000,0,0,4.05521026984557,20,-34.4990818665487,0
800000,16,2,250000,1000000,0,0,4.93549580389956,20,-34.4990818665487,0
800000,16,2,250000,2000000,0,0,5.78521843564754,20,-34.48484543135,0
800000,16,2,500000,250000,0,0,5.56259956123715,20,-25.8440497575857,0
800000,16,2,500000,500000,0,0,3.1938469550303,20,-25.8440497575857,0
800000,16,2,500000,1000000,0,0,2.47818050163026,20,-25.8440497575857,0
800000,16,2,500000,2000000,0,0,2.80664962789084,20,-25.8440497575857,0
800000,16,2,1000000,250000,0,0,6.24708389716514,20,-22.1352626152756,0
800000,16,2,1000000,500000,0,0,6.90270114466183,20,-22.1352626152756,0
800000,16,2,1000000,1000000,0,0,5.70442681026315,20,-22.1352626152756,0
800000,16,2,1000000,2000000,0,0,7.66428268699062,20,-22.1352626152756,0
800000,16,2,1500000,250000,0,0,1.81124647193576,20,-21.2084573342894,0
800000,16,2,1500000,500000,0,0,1.10555517041777,20,-21.2084573342894,0
800000,16,2,1500000,1000000,0,0,1.10358386153422,20,-21.2084573342894,0
800000,16,2,1500000,2000000,0,0,0.282193586530666,20,-21.2084573342894,0
800000,16,2,2000000,250000,0,0,0.462729110219007,20,-20.7946412442053,0
800000,16,2,2000000,500000,0,0,1.93965108263775,20,-20.7946412442053,0
800000,16,2,2000000,1000000,0,0,2.69027529029165,20,-20.7946412442053,0
800000,16,2,2000000,2000000,0,0,1.7453308935764,20,-20.7946412442053,0
800000,16,2,3000000,250000,0,0,1.30337913099408,20,-20.4043024706064,0
800000,16,2,3000000,500000,0,0,1.33614034388218,20,-20.4043024706064,0
800000,16,2,3000000,1000000,0,0,1.83716028139924,20,-20.4043024706064,0
800000,16,2,3000000,2000000,0,0,1.18373467073014,20,-20.4043024706064,0
1000000,14,1,250000,250000,0,0,5.66745744208997,20,-32.067654602781,0
1000000,14,1,250000,500000,0,0,4.42570480267468,20,-32.067654602781,0
1000000,14,1,250000,1000000,0,0,3.80348512601326,20,-32.067654602781,0
1000000,14,1,250000,2000000,0,0,4.85454213303476,20,-32.067654602781,0
1000000,14,1,500000,250000,0,0,8.17796022455529,20,-27.5140860398099,0
1000000,14,1,500000,500000,0,0,8.86803384274973,20,-27.5140860398099,0
1000000,14,1,500000,1000000,0,0,9.29130651055061,20,-27.5140860398099,0
1000000,14,1,500000,2000000,0,0,9.06955854433431,20,-27.5140860398099,0
1000000,14,1,1000000,250000,0,0,0.568283615022214,20,-24.3465086093212,0
1000000,14,1,1000000,500000,0,0,2.02043844184751,20,-24.3465086093212,0
1000000,14,1,1000000,1000000,0,0,3.41451519365326,20,-24.3465086093212,0
1000000,14,1,1000000,2000000,0,0,2.41411742863952,20,-24.3465086093212,0
1000000,14,1,1500000,250000,0,0,2.47481811590211,20,-23.1650768344844,0
1000000,14,1,1500000,500000,0,0,2.74285193234911,20,-23.1650768344844,0
1000000,14,1,1500000,1000000,0,0,2.04400580235323,20,-23.1650768344844,0
1000000,14,1,1500000,2000000,0,0,2.42065519211662,20,-23.1650768344844,0
1000000,14,1,2000000,250000,0,0,2.13887566453987,20,-22.5547398753345,0
