test_id,Vin_V,D,load_fraction,Rload_Ohm,ccm_margin_A,rank_Phi,cond_Phi_normalized,RLS_C_MAPE_percent,RLS_ESR_MAPE_percent,LTVKF_C_MAPE_percent,LTVKF_ESR_MAPE_percent,LTVKF_robust_C_MAPE_percent,LTVKF_robust_ESR_MAPE_percent,LTVKF_adaptive_C_MAPE_percent,LTVKF_adaptive_ESR_MAPE_percent,LTVKF_convergence_s,rank_Obs,cond_Obs,min_singular_Obs,status
1,19.2,0.25,0.1,100,-0.147760614851999,2,1.08400610482769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
2,19.2,0.25,0.25,40,-0.0947186412784787,2,1.04436412710313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
3,19.2,0.25,0.5,20,-0.0378428045249478,2,1.01781886186303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
4,19.2,0.25,0.75,13.3333333333333,0.0186548461022649,2,1.00874401658812,0.144511042101614,11.4906721901719,0.193089311822736,1.00091234304617,0.193324397887296,1.02005646529614,0.193207003188178,1.01368031542411,5.00000000000023e-06,3,13985.6946119509,0.000232004815513997,CCM
5,19.2,0.25,1,10,0.074806992369539,2,1.00493141946422,0.0735351695247521,7.72898185914955,0.148840505475878,1.00060570451379,0.149505651435267,1.01854020423596,0.149123334358925,1.01320071856199,5.00000000000023e-06,3,14261.7464391539,0.000231005163909466,CCM
6,19.2,0.35,0.1,100,-0.111714293277217,2,1.10382164449424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
7,19.2,0.35,0.25,40,-0.0253933548379766,2,1.04040574076116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
8,19.2,0.35,0.5,20,0.118052545138235,2,1.01350662051344,0.0177471137108975,6.85594081898039,0.0890509331310074,1.00162238584424,0.0840771625269743,1.02588463282312,0.0862190340682134,1.02095813345404,7.10000000000034e-06,3,9298.95487736202,0.000374086925543891,CCM
9,19.2,0.35,0.75,13.3333333333333,0.261000854485275,2,1.00619415995343,0.0028430128432011,3.90431028856337,0.0646009540361314,1.00176648480723,0.0618769700251987,1.03013041000145,0.0631006866784523,1.02555369399816,7.10000000000034e-06,3,10018.9279551228,0.000367546634508128,CCM
10,19.2,0.35,1,10,0.403483048612918,2,1.00341187600222,0.00492901477959773,2.464672072707,0.0501395587942599,1.00156161810862,0.0476697332498999,1.03361487714999,0.0500122293953242,1.02922508338017,4.67000000000002e-05,3,10966.5877289394,0.000357269394041355,CCM
11,19.2,0.45,0.1,100,-0.199951286784956,2,1.05569301644239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
12,19.2,0.45,0.25,40,0.00509755065252405,2,1.01769785018902,0.0998110772973293,6.18374529891815,0.00733307397444705,1.00610306047871,0.00398088923823092,1.04537488213713,0.00205601163336677,1.04230958771228,9.00000000000033e-06,3,6031.33434170803,0.000568523552032588,CCM
13,19.2,0.45,0.5,20,0.344901709391013,2,1.00492619982132,0.00709549933697318,2.57710239028631,0.0079376419581334,1.00444147824548,0.000199854677473965,1.0513404177413,0.00186473102851137,1.04878676407548,9.00000000000033e-06,3,7151.45162466171,0.000552947926662722,CCM
14,19.2,0.45,0.75,13.3333333333333,0.68242118388862,2,1.00213083616278,0.00061281025471871,1.3494876113871,0.00716467379218155,1.00315744176235,0.00412006267207499,1.05574608541406,0.00512385546962424,1.05326605255003,8.81000000000002e-05,3,8985.19226213234,0.00051826477398389,CCM
15,19.2,0.45,1,10,1.01780944224823,2,1.00120319910316,0.00135239189421599,0.818850432369145,0.0058873990919639,1.00229570869397,0.00553117395574176,1.05840854838496,0.00586943771186954,1.05561805106662,9.00000000000033e-06,3,11791.4710049958,0.000463546151926562,CCM
16,19.2,0.55,0.1,100,-0.270221231113563,2,1.21752603303491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
17,19.2,0.55,0.25,40,0.190881896855,2,1.03243172210043,0.0280210033694606,4.04823385431474,0.0390519031393533,1.00791951003688,0.0389923210309062,1.06097715507812,0.0385982716077038,1.06255156829537,1.10000000000002e-05,3,5410.25625710309,0.000687908662632967,CCM
18,19.2,0.55,0.5,20,0.821633257640126,2,1.00647817081036,0.00433205285460536,1.13212249667715,0.0195280917045126,1.0047623688146,0.0185443614153069,1.06853882477486,0.0185397351339489,1.06981050713502,6.08000000000002e-05,3,7805.68461210809,0.000637317165927745,CCM
19,19.2,0.55,0.75,13.3333333333333,1.4120602092567,2,1.00235410428513,0.00171231092906954,0.505843069370859,0.0141231986851453,1.00285546984124,0.0106042967672471,1.06909351705253,0.01053489683287,1.07049258030484,1.10000000000002e-05,3,12463.8491435411,0.000523477497699625,CCM
20,19.2,0.55,1,10,1.99953782269166,2,1.00102965338165,0.000926486377028635,0.284059925910396,0.0117616193867631,1.00173188812264,0.00724950777488687,1.06596703243386,0.00710261549918823,1.06764397892525,1.10000000000002e-05,3,20849.8721032052,0.000394904359579812,CCM
21,19.2,0.65,0.1,100,-0.140311084384347,2,1.10730595620497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
22,19.2,0.65,0.25,40,0.421868914186415,2,1.01294489294432,0.0154264317283825,1.36086908576396,0.361853390150402,0.991287824420495,0.0429259094061996,1.07760680312453,0.0336454725028634,1.08293829003625,0.0001695,3,7064.59684057544,0.000657134673681429,CCM
23,19.2,0.65,0.5,20,1.34979863148904,2,1.00230953362048,0.00160843786189968,0.315931509105027,0.0344690700692762,1.00366766768986,0.0237094526650772,1.07132264939753,0.0197206961097152,1.07753158521664,1.31000000000003e-05,3,15922.9110810465,0.000488598215889308,CCM
24,19.2,0.65,0.75,13.3333333333333,2.24295815700904,2,1.00067035445931,0.000581804161337018,0.13619376886278,0.0252075202511248,1.00143371451952,0.0164834548849191,1.0596235452745,0.0142667208569591,1.0673235635395,1.31000000000003e-05,3,42246.618771852,0.0003145570719646,CCM
25,19.2,0.65,1,10,3.12215382261995,2,1.00015698115509,0.000306724257093105,0.0756813057432026,0.0203241431294243,1.00029551224218,0.0124403993250422,1.0499311975204,0.0109028276976009,1.05829406974267,1.31000000000003e-05,3,88400.124382557,0.000211239606085737,CCM
26,24,0.25,0.1,100,-0.184700768564901,2,1.08400610482812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
27,24,0.25,0.25,40,-0.118398301598209,2,1.04436412710315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
28,24,0.25,0.5,20,-0.0473035056561182,2,1.01781886186314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
29,24,0.25,0.75,13.3333333333333,0.0233185576277042,2,1.00874401658813,0.0949378339686335,8.01731778647176,0.197560278733633,1.00059055189393,0.197461256320974,1.02286736428097,0.197407927554638,1.01909624910635,5.00000000000023e-06,3,11390.4120140451,0.000289945342361647,CCM
30,24,0.25,1,10,0.0935087404617564,2,1.0049314194642,0.0475963059487161,5.23803644173205,0.151336296596238,1.00042822190717,0.152581021222375,1.022410527253,0.152216027192831,1.0191514683313,5.00000000000023e-06,3,11699.5841735496,0.000288464727946714,CCM
31,24,0.35,0.1,100,-0.139642866596405,2,1.10382164449429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
32,24,0.35,0.25,40,-0.031741693547229,2,1.04040574076116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
33,24,0.35,0.5,20,0.147565681422725,2,1.01350662051344,0.0132097685758392,4.61564971930527,0.0900879706190016,1.00180559782653,0.0838097121474757,1.03242643310447,0.0846409051161623,1.03086481659341,7.10000000000034e-06,3,7824.98851541698,0.000466373524709259,CCM
34,24,0.35,0.75,13.3333333333333,0.326251068106652,2,1.00619415995344,0.00152596621965095,2.57103399614408,0.0652512947838302,1.00190454800266,0.0628413180753573,1.03905034491826,0.0632262531971128,1.03761832427479,7.10000000000034e-06,3,8658.08920929274,0.000455653391451141,CCM
35,24,0.35,1,10,0.504353810765936,2,1.00341187600222,0.00308382475161517,1.60588786412301,0.0502888027056558,1.00160156994413,0.0497300341070206,1.0443216581933,0.050053720489196,1.04292183015052,7.35000000000002e-05,3,9758.46498263481,0.000439112448656143,CCM
36,24,0.45,0.1,100,-0.249939108481159,2,1.05569301644255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
37,24,0.45,0.25,40,0.00637193831545259,2,1.01769785018902,0.0677707787937853,4.14202581189577,0.00365558294114221,1.00713979260424,0.0138206351998793,1.05715238061033,0.0161553080005206,1.05947528502217,9.00000000000033e-06,3,5029.78428140419,0.00070985224809307,CCM
38,24,0.45,0.5,20,0.431127136738827,2,1.0049261998213,0.00475051533630477,1.68052866702391,0.00717057010353184,1.00468630520494,0.00104286262077036,1.06618277163407,0.00254586237844467,1.06803073513492,9.00000000000033e-06,3,6335.34231414013,0.000684582936254176,CCM
39,24,0.45,0.75,13.3333333333333,0.853026479861324,2,1.00213083616278,0.000365165767457487,0.872146196792722,0.00650113355487036,1.00311459037284,0.00420412262146508,1.07172399554738,0.00352067020874536,1.07360985244972,0.0001661,3,8482.12036936035,0.000626729877755605,CCM
40,24,0.45,1,10,1.27226180281051,2,1.00120319910316,0.000860045327433223,0.527172352078265,0.00515002305804257,1.00212700714432,0.00568693389587649,1.0739140087927,0.00544037837375555,1.0761345807629,9.00000000000033e-06,3,11860.1926557555,0.000540265352213268,CCM
41,24,0.55,0.1,100,-0.337776538892143,2,1.21752603303491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
42,24,0.55,0.25,40,0.238602371069558,2,1.03243172210035,0.0181096238685452,2.66865302116566,0.039334831670601,1.00897141835453,0.0418287959009778,1.07678011712514,0.0413029888427285,1.08401331635627,1.10000000000002e-05,3,4665.25613978849,0.000857961484141616,CCM
43,24,0.55,0.5,20,1.02704157205013,2,1.00647817081036,0.00277362820771954,0.730512999034039,0.0200524200248298,1.00469115487017,0.0175147610810278,1.08594928867769,0.0182114342040851,1.0918668929486,0.0002052,3,7435.8400281508,0.000773090557223364,CCM
44,24,0.55,0.75,13.3333333333333,1.76507526157045,2,1.00235410428513,0.00109623769433131,0.324922950644846,0.0150516462224193,1.00251555966292,0.00988368548360263,1.08367758106581,0.00938374992616176,1.09126216345317,1.10000000000002e-05,3,13080.2411020047,0.000596575158564047,CCM
45,24,0.55,1,10,2.49942227836387,2,1.00102965338166,0.000593447390029311,0.182170930813308,0.0128156454709316,1.00127970179943,0.00673316893309295,1.077016267947,0.00584215200609695,1.08646311257573,1.10000000000002e-05,3,24009.9550522285,0.000425958367266315,CCM
46,24,0.65,0.1,100,-0.175388855479988,2,1.10730595620451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
47,24,0.65,0.25,40,0.527336142733533,2,1.01294489294439,0.00993282411956287,0.879574288142193,45.0814802975656,189.762647237304,0.0374587652484548,1.09646831871596,0.014810448942093,1.10509696869736,0.0001889,3,6574.53443399366,0.000805608021296893,CCM
48,24,0.65,0.5,20,1.68724828936031,2,1.00230953362049,0.00103041605592491,0.202657144133167,0.0355442182724763,1.00318237841124,0.0223399128614243,1.08402144184643,0.0133836801479603,1.0972550983509,1.31000000000003e-05,3,18488.3447816973,0.000547719220022664,CCM
49,24,0.65,0.75,13.3333333333333,2.80369769626114,2,1.00067035445931,0.000372964342199023,0.0872495659634542,0.0263218029114443,1.00076338059235,0.0155629649710942,1.06696415904477,0.0107914093776085,1.08372035838424,1.31000000000003e-05,3,51463.0590715037,0.000330615168978637,CCM
50,24,0.65,1,10,3.90269227827473,2,1.00015698115509,0.000196900728755001,0.0484624416878687,0.0214017354602136,0.999519280077377,0.0117115128435596,1.05447168278766,0.00843868162403449,1.07220441234995,1.31000000000003e-05,3,109167.981344026,0.000216425201755122,CCM
51,28.8,0.25,0.1,100,-0.221640922277977,2,1.08400610482796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
52,28.8,0.25,0.25,40,-0.142077961917452,2,1.0443641271032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
53,28.8,0.25,0.5,20,-0.0567642067875186,2,1.01781886186304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
54,28.8,0.25,0.75,13.3333333333333,0.0279822691536014,2,1.00874401658819,0.0669847969581583,5.85441372761744,0.201785362363893,1.00030194966266,0.202164503158464,1.02581052185912,0.202129067605106,1.02505879436348,5.00000000000023e-06,3,9694.38571457516,0.000347819485270975,CCM
55,28.8,0.25,1,10,0.11221048855441,2,1.00493141946424,0.0332725717926974,3.75781302342275,0.153275651659657,1.00028761411413,0.155703248066263,1.02658100316815,0.155579409387996,1.02591618779141,5.00000000000023e-06,3,10051.1675384306,0.000345731243951898,CCM
56,28.8,0.35,0.1,100,-0.167571439915835,2,1.10382164449426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EXCLUDED_DCM
