test_id,test_group,Vin_V,D,load_fraction,Rload_Ohm,C_F,ESR_Ohm,rank_Phi,lambda_min_gram,cond_gram_raw,cond_gram_normalized
30,operating,24,0.25,1,10,0.0001,0.05,2,3.83464482221341e-09,74963133862.7274,1.0049314194642
31,operating,24,0.35,0.1,100,0.0001,0.05,2,6.35346834004839e-10,116300958951.521,1.10382164449429
32,operating,24,0.35,0.25,40,0.0001,0.05,2,1.87723476096648e-09,70575420187.4917,1.04040574076116
33,operating,24,0.35,0.5,20,0.0001,0.05,2,5.51939851424677e-09,55439245987.0942,1.01350662051344
34,operating,24,0.35,0.75,13.3333333333333,0.0001,0.05,2,1.11431997254948e-08,51599664914.6188,1.00619415995344
35,operating,24,0.35,1,10,0.0001,0.05,2,1.87629836537749e-08,50103125257.2101,1.00341187600222
36,operating,24,0.45,0.1,100,0.0001,0.05,2,1.5847198297715e-09,86221330918.5966,1.05569301644255
37,operating,24,0.45,0.25,40,0.0001,0.05,2,5.51191110039175e-09,53655141376.4945,1.01769785018902
38,operating,24,0.45,0.5,20,0.0001,0.05,2,1.83032204956413e-08,44554745185.0359,1.0049261998213
39,operating,24,0.45,0.75,13.3333333333333,0.0001,0.05,2,3.88988064948726e-08,42502176532.9354,1.00213083616278
40,operating,24,0.45,1,10,0.0001,0.05,2,6.72854245677206e-08,41740689689.0083,1.00120319910316
41,operating,24,0.55,0.1,100,0.0001,0.05,2,8.72747586445819e-10,164167896332.158,1.21752603303491
42,operating,24,0.55,0.25,40,0.0001,0.05,2,9.21419874017407e-09,52179730890.0811,1.03243172210035
43,operating,24,0.55,0.5,20,0.0001,0.05,2,4.55495296119734e-08,43062101007.352,1.00647817081036
44,operating,24,0.55,0.75,13.3333333333333,0.0001,0.05,2,1.0945063198664e-07,41751610116.9896,1.00235410428513
45,operating,24,0.55,1,10,0.0001,0.05,2,2.0039790831199e-07,41338260987.9344,1.00102965338166
46,operating,24,0.65,0.1,100,0.0001,0.05,2,3.85075745257247e-09,84493280807.3364,1.10730595620451
47,operating,24,0.65,0.25,40,0.0001,0.05,2,3.50859756008687e-08,51888285235.8256,1.01294489294439
48,operating,24,0.65,0.5,20,0.0001,0.05,2,1.58028151604971e-07,49102508439.251,1.00230953362049
49,operating,24,0.65,0.75,13.3333333333333,0.0001,0.05,2,3.6725815951269e-07,48720465342.7749,1.00067035445931
50,operating,24,0.65,1,10,0.0001,0.05,2,6.6038802966314e-07,48613229421.2003,1.00015698115509
51,operating,28.8,0.25,0.1,100,0.0001,0.05,2,3.31843922544993e-10,152898172894.154,1.08400610482796
