scenario,transient_type,initial_value,final_value,method,C_transient_peak_percent,C_settled_bias_percent,ESR_transient_peak_percent,ESR_settled_bias_percent
Load_25_to_75,load,40,13.3333333333333,RLS,0.0958723985795884,-0.00608300482115576,1.01383397591917,-1.00207964174513
Load_25_to_75,load,40,13.3333333333333,TS_LTVKF,0.198224522402524,-0.0620898095668343,1.05355501142848,-1.00187603920586
Load_100_to_50,load,10,20,RLS,0.0403018064277783,0.00667913481895432,1.00795766645733,-0.983522205255039
Load_100_to_50,load,10,20,TS_LTVKF,0.258357962503364,-0.0487940932011544,1.04014452395966,-0.997710652331119
Vin_80_to_120,Vin,19.2,28.8,RLS,0.0203511989539829,0.00269947121804837,1.03079514118737,-0.997223572467243
Vin_80_to_120,Vin,19.2,28.8,TS_LTVKF,0.137081278232998,0.00618831220380311,1.1207538908979,-1.00477627163683
Vin_120_to_80,Vin,28.8,19.2,RLS,0.0481388704150154,-0.00373007946447013,1.08796248540015,-1.00718791186051
Vin_120_to_80,Vin,28.8,19.2,TS_LTVKF,0.107836120122262,-0.0068654818894065,1.10017952183286,-1.00132219412792
