jitter_mode,jitter_rms_ns,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status,edge_fit_rejection_rate,samples_per_cycle
common,0,1,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,2,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,3,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,4,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,5,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,6,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,7,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,8,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,9,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,10,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,11,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,12,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,13,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,14,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,15,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,16,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,17,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,18,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,19,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,20,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,21,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,22,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
common,0,23,9.99981792467471e-05,0.049821823568226,0.000100000546593981,0.000546593981343158,0.0498297885952956,0.340422809408714,PASS,0,40
