scenario,seed_count,NIS_V_mean,NIS_V_p50,NIS_V_p95,NIS_V_95_coverage,NIS_V_rejection_fraction,NIS_C_mean,NIS_C_p50,NIS_C_p95,NIS_C_95_coverage,NIS_C_rejection_fraction,NIS_R_mean,NIS_R_p50,NIS_R_p95,NIS_R_95_coverage,NIS_R_rejection_fraction,NEES_full_mean,NEES_full_95_lower,NEES_full_95_upper,NEES_param_mean,NEES_param_95_lower,NEES_param_95_upper,NEES_C_mean,NEES_ESR_mean,CI_C_95_coverage,CI_ESR_95_coverage,C_MAPE_mean_percent,C_MAPE_p95_percent,ESR_MAPE_mean_percent,ESR_MAPE_p95_percent,joint_pass_fraction,fs_adc_Hz,afe_fc_v_Hz,afe_fc_i_Hz
nominal,100,0.271837471504179,0.120970721049099,1.07879102585357,0.999802822748028,0,0.985497954325363,0.44201358978027,3.75257397916577,0.95263698630137,0.00229452054794521,0.839656206596787,0.380790360907384,3.26983848760544,0.965714285714286,0.00136054421768707,0.773831611234078,2.5391232260249,3.49874468829915,0.746184671183241,1.62727982501846,2.41057895506311,0.38396645937168,0.362218211811561,1,1,0.336312420409412,0.795708831733261,0.20005518864042,0.48240980934916,1,5000000,2000000,1000000
high_D,100,0.821464564461064,0.157377856393963,2.53830772299481,0.954619006849315,0.0173480308219178,1.24642459431898,0.560527619408241,4.80827383308258,0.920102739726027,0.00688356164383562,0.277234536615036,0.123832734506793,1.06987310205492,0.999931972789116,0,8.34448797159309,2.5391232260249,3.49874468829915,0.352946571884231,1.62727982501846,2.41057895506311,0.266594722213811,0.0863518496704199,1,1,0.0721386000384758,0.172076007971156,0.0259358946370178,0.0564283113366759,1,5000000,2000000,1000000
low_CCM_margin,100,0.27019963995778,0.148030878752275,1.11580725630859,0.9997799916978,0,1.00148633137713,0.467620653411689,3.85165307111386,0.949691780821918,0.00243150684931507,0.925684242814366,0.409087574073261,3.52090698260778,0.958571428571429,0.0026530612244898,0.85061112579218,2.5391232260249,3.49874468829915,0.847867327772427,1.62727982501846,2.41057895506311,0.409697804739799,0.438169523032628,1,1,0.789500048613956,2.04042625061721,0.934722817813283,2.21568516433873,1,5000000,2000000,1000000
noise_10mV_5mA,100,0.863931098220791,0.384643613655758,3.35412725732146,0.964200913242009,0.00149439601494396,1.00039202157449,0.453824885180095,3.84891166128008,0.949794520547945,0.00284246575342466,0.91025437978752,0.402065921424358,3.52822111722709,0.959115646258503,0.00210884353741497,1.89901430487052,2.5391232260249,3.49874468829915,1.86444948751653,1.62727982501846,2.41057895506311,1.34899965232061,0.51544983519592,0.93,1,2.16317248929915,4.72708189025901,0.900790779583093,2.26981686928836,0.77,5000000,2000000,1000000
opposed_delay_200ns,100,0.276800643646943,0.13825811273456,1.11108195316252,0.999738480697385,0,3.20519941740762,1.94557650920795,10.6574765172125,0.689417808219178,0.0769178082191781,0.710841731270913,0.315229628614598,2.75626227040523,0.979455782312925,0.000408163265306122,67.7491338384062,2.5391232260249,3.49874468829915,67.6884458558354,1.62727982501846,2.41057895506311,52.7257606611233,14.9626851947121,0,0,7.48140065113664,8.37236483568482,2.78996780283979,3.1671424018941,0,5000000,2000000,1000000
modelB_20nH,100,0.273374392092023,0.124121718829491,1.0866890067128,0.999742631797426,0,0.966289160984799,0.444508505229553,3.7269902941547,0.953869863013699,0.00178082191780822,0.908905302867032,0.396727429727839,3.5367049587814,0.959047619047619,0.00224489795918367,1.6469748246009,2.5391232260249,3.49874468829915,1.56312132841939,1.62727982501846,2.41057895506311,0.421494956884409,1.14162637153499,1,1,0.398043752482141,0.936856701987288,0.339894763871488,0.784610197781399,1,5000000,2000000,1000000
