test_id,ESL_nH,load_fraction,D,modelB_waveform_NRMSE,ring_frequency_relative_error,zeta_relative_error,peak_relative_error,settling_relative_error,edge_ESR_AP_Ohm,edge_ESR_B_Ohm,edge_ESR_AP_MAPE_percent,edge_ESR_B_MAPE_percent,TR_C_MAPE_AP_percent,TR_C_MAPE_B_percent,TR_ESR_MAPE_AP_percent,TR_ESR_MAPE_B_percent,TR_ESR_MAPE_difference_points,acceptance_pass
1,1,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.0462696643281468,0.0921121662214808,5.78308521555773,0.667256716439679,5.11582849911805,0
2,5,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.0676045234957567,1.54700697390295,7.16207322780487,0.65858299838768,6.50349022941719,0
3,10,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.319408625513118,0.0514005132201456,6.34180547056571,0.497479931685207,5.8443255388805,0
4,20,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.857480454494963,0.461318443971637,7.49578539222486,1.74303175698129,5.75275363524357,0
5,50,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.170675301702472,0.0582033139838511,6.15208039717849,1.02194932331869,5.1301310738598,0
6,1,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,1.52573418142408,1.2594898227794,7.80639308556164,1.91787474766663,5.88851833789501,0
7,5,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.325119466197776,0.838766989187789,6.76186918773634,0.0427534146672404,6.7191157730691,0
8,10,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.272390653858645,1.92700649367681,7.67528410116027,0.382722201292029,7.29256189986824,0
9,20,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.141668660233685,0.635119832144038,6.19360133922551,0.455307825766327,5.73829351345918,0
10,50,0.625,0.3,1.40552785261688,NaN,0,0.975515671224665,NaN,0.060380169379735,0.0494906934522568,20.7603387594699,1.01861309548644,0.296451700902522,0.135626226747687,6.73151086352086,0.902112697442425,5.82939816607844,0
