method,mode,case_count,C_mean_MAPE_percent,ESR_mean_MAPE_percent,C_median_MAPE_percent,ESR_median_MAPE_percent,C_p95_percent,ESR_p95_percent,C_max_percent,ESR_max_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles_mean,convergence_time_ms,divergence_count,projection_activation_count,invalid_update_count,source_model
M1 TS-D-RLS,Native,768,0.372680462278862,0.222188144681207,0.19549279321791,0.138963642671324,1.31818648710039,0.696773537082202,4.01132309942911,1.99345461954819,0.0254341236786595,0.132469635018729,5.77912465473113e-11,0.00043307391083967,13.1888020833333,0.263776041666667,0,76,0,FROZEN_PV11_MODEL_B_ANCHOR
M1 TS-D-RLS,Equal-Report,768,0.372680462278862,0.222188144681207,0.19549279321791,0.138963642671324,1.31818648710039,0.696773537082202,4.01132309942911,1.99345461954819,0.0254341236786595,0.132469635018729,5.77912465473113e-11,0.00043307391083967,1024,20.48,0,76,0,FROZEN_PV11_MODEL_B_ANCHOR
M2 TS-SLTVKE,Native,768,0.301149059504354,0.64283085961941,0.159799254755822,0.33655779894518,1.10688368055481,2.48676389255558,2.28197217788793,9.19315244242127,0.0158662438843793,0.257945204556755,5.7259282897239e-11,0.000433689944563735,33.03515625,0.660703125,0,90,18800,FROZEN_PV11_MODEL_B_ANCHOR
M2 TS-SLTVKE,Equal-Report,768,0.301149059504354,0.64283085961941,0.159799254755822,0.33655779894518,1.10688368055481,2.48676389255558,2.28197217788793,9.19315244242127,0.0158662438843793,0.257945204556755,5.7259282897239e-11,0.000433689944563735,1024,20.48,0,90,18800,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,768,0.304340016733086,1.19225037349521,0.150269156646071,0.79646993457031,1.14919306233607,3.8578529399109,2.39813574337238,8.87490282882916,0.0163431390490983,-0.816982141843632,5.71823433501185e-11,0.000433429886286557,40.5703125,0.81140625,0,64,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Equal-Report,768,0.304340016733086,1.19225037349521,0.150269156646071,0.79646993457031,1.14919306233607,3.8578529399109,2.39813574337238,8.87490282882916,0.0163431390490983,-0.816982141843632,5.71823433501185e-11,0.000433429886286557,1024,20.48,0,64,0,FROZEN_PV11_MODEL_B_ANCHOR
