method,mode,noise_profile,skew_ns,case_count,C_mean_MAPE_percent,ESR_mean_MAPE_percent,C_p95_percent,ESR_p95_percent,convergence_cycles_mean,divergence_count,timing_failure_count,source_model
M3 Dual EKF,Native,5mV_2mA,0,48,0.291327688501048,0.696898097209577,0.821073149560414,1.58794412449412,13.9166666666667,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,5mV_2mA,20,48,0.322832562660965,0.744739781420938,0.766030410815543,1.82922355932985,13.8958333333333,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,5mV_2mA,50,48,0.326293638125666,0.73883579258918,0.755346396594394,1.6876552013805,13.125,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,5mV_2mA,100,48,0.363502962726883,0.870851913541259,1.07731212229081,1.91920746419288,17.0625,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,nominal,0,48,0.0701496477823726,0.302053217351107,0.158424566359267,0.797282518287298,2.66666666666667,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,nominal,20,48,0.0596357652309249,0.887562189102303,0.171995360816253,1.70197708484389,2.66666666666667,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,nominal,50,48,0.0735730239733871,2.33835156911553,0.158161666835043,4.17042296736863,3.33333333333333,0,1,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,nominal,100,48,0.0529506531292361,4.58324481393487,0.132669081432969,6.91304324008186,326.0625,0,20,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,10mV_5mA,0,48,0.681281236741288,0.970446448721852,1.60953155637609,2.7236370603068,55.7916666666667,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,10mV_5mA,20,48,0.683406493782588,0.948764939265473,1.78971621298205,2.41034454816915,52.7291666666667,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,10mV_5mA,50,48,0.6379792956162,0.909036644508083,1.29427579968912,2.44902880901455,62.5208333333333,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,10mV_5mA,100,48,0.693797941924933,0.759920169597343,1.38319887946109,2.074385461202,58.4583333333333,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,F28379D_device_realistic,0,48,0.153534425639368,0.4359179239467,0.384386709183255,1.21560635204918,3.60416666666667,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,F28379D_device_realistic,20,48,0.136087134178438,0.536839038237362,0.335288120950479,1.32887217760392,3.83333333333333,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,F28379D_device_realistic,50,48,0.163393878503593,1.14713970439851,0.421092446694713,1.91609444375762,5.125,0,0,FROZEN_PV11_MODEL_B_ANCHOR
M3 Dual EKF,Native,F28379D_device_realistic,100,48,0.159693919212494,2.20540373298323,0.391758200743889,4.32370929779808,14.3333333333333,0,0,FROZEN_PV11_MODEL_B_ANCHOR
