vrefNoiseUvRms,vrefDriftPpmC,ENOB,quantizationNoiseUvRms,fortyCDifferentialDriftPercent,combinedNoiseUvRms,accuracyRisk,clockSource
10,5,13.5,124.587490986286,0.02,124.988171081339,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,5,13.5,124.587490986286,0.02,126.182577681144,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
50,5,13.5,124.587490986286,0.02,134.246202591574,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,10,13.5,124.587490986286,0.04,124.591504165645,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
5,10,13.5,124.587490986286,0.04,124.687781720014,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
10,10,13.5,124.587490986286,0.04,124.988171081339,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,10,13.5,124.587490986286,0.04,126.182577681144,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
50,10,13.5,124.587490986286,0.04,134.246202591574,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,25,13.5,124.587490986286,0.1,124.591504165645,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
5,25,13.5,124.587490986286,0.1,124.687781720014,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
10,25,13.5,124.587490986286,0.1,124.988171081339,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,25,13.5,124.587490986286,0.1,126.182577681144,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
50,25,13.5,124.587490986286,0.1,134.246202591574,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,50,13.5,124.587490986286,0.2,124.591504165645,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
5,50,13.5,124.587490986286,0.2,124.687781720014,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
10,50,13.5,124.587490986286,0.2,124.988171081339,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
20,50,13.5,124.587490986286,0.2,126.182577681144,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
50,50,13.5,124.587490986286,0.2,134.246202591574,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
1,5,14,88.0966597274209,0.02,88.1023351286956,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
5,5,14,88.0966597274209,0.02,88.2384352486431,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
10,5,14,88.0966597274209,0.02,88.6624015867436,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,5,14,88.0966597274209,0.02,90.3383719973356,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
50,5,14,88.0966597274209,0.02,101.296700119644,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,10,14,88.0966597274209,0.04,88.1023351286956,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
5,10,14,88.0966597274209,0.04,88.2384352486431,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
10,10,14,88.0966597274209,0.04,88.6624015867436,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,10,14,88.0966597274209,0.04,90.3383719973356,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
50,10,14,88.0966597274209,0.04,101.296700119644,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,25,14,88.0966597274209,0.1,88.1023351286956,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
5,25,14,88.0966597274209,0.1,88.2384352486431,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
10,25,14,88.0966597274209,0.1,88.6624015867436,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,25,14,88.0966597274209,0.1,90.3383719973356,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
50,25,14,88.0966597274209,0.1,101.296700119644,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
1,50,14,88.0966597274209,0.2,88.1023351286956,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
5,50,14,88.0966597274209,0.2,88.2384352486431,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
10,50,14,88.0966597274209,0.2,88.6624015867436,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
20,50,14,88.0966597274209,0.2,90.3383719973356,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
50,50,14,88.0966597274209,0.2,101.296700119644,CALIBRATION_REQUIRED,EXTERNAL_CRYSTAL_PLUS_PLL
1,5,14.65,56.1422669434566,0.02,56.1511721832264,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
5,5,14.65,56.1422669434566,0.02,56.364475847384,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
10,5,14.65,56.1422669434566,0.02,57.0259075995318,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
20,5,14.65,56.1422669434566,0.02,59.5982729410034,LOW,EXTERNAL_CRYSTAL_PLUS_PLL
