validation_case,GroupCount,mean_C_abs_error_percent,median_C_abs_error_percent,p95_C_abs_error_percent,p99_C_abs_error_percent,max_C_abs_error_percent,mean_ESR_abs_error_percent,median_ESR_abs_error_percent,p95_ESR_abs_error_percent,p99_ESR_abs_error_percent,max_ESR_abs_error_percent,mean_C_CI95_covered,mean_ESR_CI95_covered,pass_fraction
C_0p8,200,0.366211803909318,0.261208291817501,1.02478079719059,1.26084331897232,1.36530577869541,0.672679784894862,0.583388407206127,1.65746898734492,2.05898372232136,2.18209102122878,0.935,1,1
ESR_2x,200,0.318362987481817,0.254523327452168,0.842247600509204,1.17582388478894,1.60707807067289,0.69499420281274,0.575124926387352,1.73670900335881,2.17830953768766,2.26481771003008,0.97,0.985,1
combined_C_0p8_ESR_2x,200,0.327244133400575,0.265947988310637,0.832065841515186,1.15036809178553,1.28652393420918,0.631982847256166,0.55714820555397,1.42637656206294,1.8967850491132,2.42292037530006,0.975,0.995,1
high_D,200,0.337850618256684,0.266681016691682,0.873009498483756,1.12068222743669,1.1795947804022,0.636052839537219,0.512372095068978,1.67123740740993,2.07693322562932,2.40219859201364,0.965,0.995,1
high_load,200,0.350793212326159,0.291352496014875,0.807172371533436,1.13085125991047,1.35919342253893,0.659382066817901,0.610610702446807,1.4689004361526,1.90035727353185,1.95369637361412,0.975,1,1
low_CCM,200,0.63121191834198,0.506398099135571,1.64248567274674,2.1664545717204,2.33005250541718,1.06813670899624,0.931390555472256,2.61091165809321,3.27777287748737,4.62908107819943,0.96,0.98,1
nominal,200,0.349101371343617,0.292386704768803,0.924245231070327,1.1347115211679,1.26772551663757,0.692404956350606,0.577276891302457,1.68657355389815,2.01031799647212,2.02823389888512,0.955,1,1
