training_case,NIS_V_mean,NIS_V_p50,NIS_V_p95,NIS_C_mean,NIS_C_p50,NIS_C_p95,NIS_R_mean,NIS_R_p50,NIS_R_p95,NEES_param_mean,CI_C_95_coverage,CI_ESR_95_coverage,voltage_variance_scale,charge_variance_scale,edge_variance_scale
nominal,0.274533796013075,0.124066123784857,1.08931848657877,0.93243020510275,0.420544618931889,3.64117159982514,0.861278864959,0.366255234228248,3.4039462335423,0.849051002211375,1,1,0.120379099556587,0.991774665071616,0.563921589286949
high_D,0.360136105467139,0.140063073239546,1.51815942802911,1.04130489408358,0.450308981987319,4.03910943311439,0.470823605835793,0.239896301573753,1.68231988692626,0.31058927758364,1,1,0.120379099556587,0.991774665071616,0.563921589286949
noisy,0.867691448285131,0.386850015866376,3.36782189041596,1.01226259220544,0.469188820953559,3.92278042590365,0.931313389243745,0.387214487678885,3.73075827381674,1.26992905218486,1,1,0.120379099556587,0.991774665071616,0.563921589286949
modelB_parasitic_nominal,0.271396055856173,0.124359015378096,1.07436670198513,0.972370226648969,0.478274747794715,3.59728676780404,0.898896114552369,0.402926219100681,3.36797553051276,0.908128865427142,1,1,0.120379099556587,0.991774665071616,0.563921589286949
