scenario,seed,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,sigma_C_F,sigma_ESR_Ohm,NEES_full,NEES_param,CI_C_contains_true,CI_ESR_contains_true,accuracy_pass
nominal,1,9.92607789256203e-05,0.0500815651900843,0.739221074379703,0.163130380168597,8.65971406945867e-07,0.000310339447093548,2.19975640913131,2.17174923408346,1,1,1
nominal,2,0.000100444704289104,0.0498988203368983,0.444704289103659,0.202359326203316,8.86005302055722e-07,0.000312295448878848,0.919009200329301,0.888946152539886,1,1,1
nominal,3,9.94676203298314e-05,0.0499223115179168,0.532379670168637,0.155376964166465,8.68849495166372e-07,0.000310269021605524,0.27969592529259,0.24274354238544,1,1,1
nominal,4,9.99852288015698e-05,0.0499325440949976,0.0147711984301968,0.134911810004845,8.81754266129228e-07,0.00031189566672879,0.117448896905593,0.0879659040013125,1,1,1
nominal,5,9.98129120742884e-05,0.0499552847289146,0.187087925711604,0.0894305421708319,8.74872520595731e-07,0.000312570922450836,0.708846120547849,0.690971992026368,1,1,1
nominal,6,0.000100557126834667,0.0500672743676121,0.557126834667154,0.134548735224205,8.87977366653854e-07,0.000310688115530718,0.069055426735133,0.0350313527041399,1,1,1
nominal,7,0.00010036325317869,0.0499460391162998,0.363253178690459,0.107921767400421,8.89389882509955e-07,0.000308978525879488,1.24493652817268,1.17980191600229,1,1,1
nominal,8,9.99644732602345e-05,0.0499757080717095,0.0355267397655457,0.0485838565810859,8.77519515533855e-07,0.000311571099644738,2.07451050085337,2.03905126392067,1,1,1
nominal,9,9.97885019913547e-05,0.0501260483066338,0.211498008645283,0.252096613267616,8.74448431777243e-07,0.000311810885653724,1.18597633254847,1.16236582905502,1,1,1
nominal,10,9.97502011469064e-05,0.0500526064385824,0.249798853093586,0.105212877164718,8.73778699400311e-07,0.000310278087157504,0.393917722151343,0.373761524117973,1,1,1
nominal,11,9.93501369702057e-05,0.0498058420339755,0.64986302979434,0.388315932048988,8.6939379592257e-07,0.000309161781007799,1.53381027383378,1.4884266468605,1,1,1
nominal,12,0.000100227934979703,0.0498692902439133,0.227934979702948,0.2614195121734,8.8216242134692e-07,0.000312981922518407,0.391206779821911,0.371125338626225,1,1,1
nominal,13,0.000100534326743583,0.0498749888000688,0.534326743583158,0.250022399862315,8.92427772633098e-07,0.00031415513983403,1.30515172676444,1.27121070082706,1,1,1
