nominal_coverage,empirical_C_coverage,empirical_ESR_coverage
0.5,0.621666666666667,0.696666666666667
0.8,0.773333333333333,0.818333333333333
0.9,0.813333333333333,0.833333333333333
0.95,0.821666666666667,0.833333333333333
0.99,0.833333333333333,0.833333333333333
