run_id,snr_reference,noise_target,SNR_dB,seed,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,failed
1,full_signal_rms,vT,20,1,RLS,6.03920527031907e-05,39.6079472968093,0.0756649662684204,51.3299325368408,1
1,full_signal_rms,vT,20,1,TS_LTVKF,7.30259346388349e-05,26.9740653611651,0.0458633553279994,8.27328934400129,1
2,full_signal_rms,vT,20,2,RLS,6.0829665832756e-05,39.170334167244,0.0716765778906594,43.3531557813188,1
2,full_signal_rms,vT,20,2,TS_LTVKF,8.57023830481171e-05,14.2976169518829,0.0374387083020207,25.1225833959586,1
3,full_signal_rms,vT,20,3,RLS,6.46952484122978e-05,35.3047515877022,0.0818960380411601,63.7920760823201,1
3,full_signal_rms,vT,20,3,TS_LTVKF,9.81899506704681e-05,1.81004932953189,0.0430163913828547,13.9672172342905,0
4,full_signal_rms,vT,20,4,RLS,6.80402119519477e-05,31.9597880480523,0.0781393124190205,56.278624838041,1
4,full_signal_rms,vT,20,4,TS_LTVKF,9.33189220699554e-05,6.68107793004462,0.0358582350449617,28.2835299100767,1
5,full_signal_rms,vT,20,5,RLS,6.4995533549114e-05,35.004466450886,0.158907348220398,217.814696440796,1
5,full_signal_rms,vT,20,5,TS_LTVKF,8.98384514639548e-05,10.1615485360452,0.0573008922745058,14.6017845490116,1
6,full_signal_rms,vT,20,6,RLS,8.57076129458193e-05,14.2923870541807,0.0927091624922687,85.4183249845373,1
6,full_signal_rms,vT,20,6,TS_LTVKF,8.97305869815431e-05,10.2694130184569,0.0602328623034631,20.4657246069261,1
7,full_signal_rms,vT,20,7,RLS,7.02803345812764e-05,29.7196654187236,0.143374351697364,186.748703394727,1
7,full_signal_rms,vT,20,7,TS_LTVKF,7.45606359460971e-05,25.4393640539029,0.0499757843195099,0.0484313609802833,1
8,full_signal_rms,vT,20,8,RLS,7.31911246972892e-05,26.8088753027109,0.122843126215086,145.686252430173,1
8,full_signal_rms,vT,20,8,TS_LTVKF,7.89910824483429e-05,21.0089175516571,0.0609196182590441,21.8392365180883,1
9,full_signal_rms,vT,20,9,RLS,7.79697478042751e-05,22.0302521957249,0.0973789196323855,94.757839264771,1
9,full_signal_rms,vT,20,9,TS_LTVKF,8.07309839568489e-05,19.2690160431511,0.039385252529823,21.229494940354,1
