anchor_id,Vin_V,duty,Rload_ohm,C1_F,ESR_ohm,ESL_H,requested_load,actual_load,edge_count,median_I_sum_A,vT_peak_to_peak_V,charge_proxy_C,source_file
MB-030,24,0.4,10,0.0001,0.05,5e-08,1,1,20,2.21863922721248,0.203589073836376,-6.46440165830346e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-031,24,0.6,40,0.0001,0.05,1e-09,0.25,0.25,20,1.98460375755453,0.150165295643681,-1.61841327348972e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-032,24,0.6,40,0.0001,0.05,5e-09,0.25,0.25,20,1.98460375755453,0.150165295643681,-1.61841327348972e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-033,24,0.6,40,0.0001,0.05,1e-08,0.25,0.25,20,1.98460375755453,0.150165295643681,-1.61841327348972e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-034,24,0.6,40,0.0001,0.05,2e-08,0.25,0.25,20,1.98460375755453,0.150165295643681,-1.61841327348972e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-035,24,0.6,40,0.0001,0.05,5e-08,0.25,0.25,20,1.98460375755453,0.150165295643681,-1.61841327348972e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-036,24,0.6,20,0.0001,0.05,1e-09,0.5,0.5,20,4.17542781088708,0.312533614932633,-3.21001088349962e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-037,24,0.6,20,0.0001,0.05,5e-09,0.5,0.5,20,4.17542781088708,0.312533614932633,-3.21001088349962e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-038,24,0.6,20,0.0001,0.05,1e-08,0.5,0.5,20,4.17542781088708,0.312533614932633,-3.21001088349962e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-039,24,0.6,20,0.0001,0.05,2e-08,0.5,0.5,20,4.17542781088708,0.312533614932633,-3.21001088349962e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-040,24,0.6,20,0.0001,0.05,5e-08,0.5,0.5,20,4.17542781088708,0.312533614932633,-3.21001088349962e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-041,24,0.6,10,0.0001,0.05,1e-09,1,1,20,8.54835136213463,0.636518322603102,-6.37105301856914e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-042,24,0.6,10,0.0001,0.05,5e-09,1,1,20,8.54835136213463,0.636518322603102,-6.37105301856914e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-043,24,0.6,10,0.0001,0.05,1e-08,1,1,20,8.54835136213463,0.636518322603102,-6.37105301856914e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-044,24,0.6,10,0.0001,0.05,2e-08,1,1,20,8.54835136213463,0.636518322603102,-6.37105301856914e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
MB-045,24,0.6,10,0.0001,0.05,5e-08,1,1,20,8.54835136213463,0.636518322603102,-6.37105301856914e-06,verification_v21/results/raw/modelB_edge_traces_v21.mat
