algorithm,N_rows,C_MAPE_percent,ESR_MAPE_percent,C_p50_percent,C_p95_percent,C_max_percent,ESR_p50_percent,ESR_p95_percent,ESR_max_percent,C_bias_percent,ESR_bias_percent,median_convergence_cycles,divergence_rate_percent,projection_rate_percent
B0 Closed-form,768,0.561568106157987,1.90162823318492,0.286639074970925,2.03410965098969,4.78962686384981,1.80763278028431,3.37862529639322,8.51127358106596,-0.0331531142987576,-1.86552781464671,256,0,0
B1 RLS,768,0.224820738745386,0.507380156985526,0.104767688870225,0.859015758463526,2.09079895914815,0.2325148624703,2.10160077502095,7.61905099358166,0.00380017661888197,0.0583712231053022,14,0,0
B2 Augmented EKF,768,5.67387790136181,1.03154276844623,4.23021576690364,17.247626726799,30.2967557114075,0.663890303845484,3.31622177172427,6.96398996320717,0.589096245712389,-0.0777487916601431,1024,0,1.30208333333333
B3 Dual EKF,768,0.207314110508954,0.784270920423345,0.0988035745337928,0.787078047388984,1.86619430961634,0.542319978088188,2.50081148226937,8.06407093834796,-0.00192562857817084,0.0395048385466337,16,0,0
B4 Cuk-adapted wavelet-KF,768,0.288331132621895,1.79687418885059,0.215513777555824,0.838559067759699,1.83096906705042,1.79237873025055,2.99153893915246,5.60376996974245,-0.0248195097704507,-1.75349791040826,24,0,0
TS-SLTVKE,768,0.300928686693007,0.577401613657938,0.157472776746223,1.11638096697497,2.28063995490134,0.329487348764895,2.13437091247565,7.39266827493108,0.0160730152610008,0.258615985905628,9,0,0
