cycle,time_s,delta_v_edge_V,i1_A,i2_A,ESR_edge_Ohm,ESR_true_Ohm
1,0.006,0.103262374710425,0.791519395196435,1.28948481982464,0.0496214154517604,0.05
2,0.00602,0.103362578318155,0.792134947347249,1.29088561209151,0.0496214873395222,0.05
3,0.00604,0.103472223194665,0.792770868143191,1.29245526475407,0.0496215837516376,0.05
4,0.00606,0.103591153022322,0.793428365210214,1.29418946806944,0.0496217034415633,0.05
5,0.00608,0.103719202103854,0.794108895975331,1.29608347990034,0.0496218450038127,0.05
6,0.0061,0.103856195591,0.794814153832501,1.29813214384437,0.0496220068839216,0.05
7,0.00612,0.104001949724569,0.795546052864318,1.30032990900729,0.0496221873892271,0.05
8,0.00614,0.104156272085454,0.796306711204258,1.30267085132923,0.049622384700357,0.05
9,0.00616,0.10431896185635,0.797098433130901,1.30514869636553,0.0496225968834306,0.05
10,0.00618,0.104489810093519,0.797923689991881,1.30775684341737,0.0496228219027803,0.05
11,0.0062,0.104668600008353,0.798785100060998,1.31048839090135,0.0496230576342178,0.05
12,0.00622,0.104855107257954,0.799685407437216,1.31333616284155,0.0496233018786084,0.05
13,0.00624,0.105049100244521,0.800627460098958,1.31629273636258,0.0496235523758111,0.05
14,0.00626,0.105250340422721,0.801614187231198,1.31935047005795,0.0496238068187539,0.05
15,0.00628,0.10545858261488,0.802648575946442,1.32250153310405,0.0496240628677275,0.05
16,0.0063,0.105673575332823,0.803733647523565,1.32573793498705,0.0496243181645255,0.05
17,0.00632,0.105895061106587,0.80487243329085,1.32905155570744,0.0496245703467142,0.05
18,0.00634,0.106122776818609,0.806067950281223,1.3324341763249,0.0496248170615707,0.05
19,0.00636,0.106356454043507,0.807323176788603,1.3358775097056,0.0496250559799334,0.05
20,0.00638,0.106595819392247,0.808641027955233,1.33937323133243,0.0496252848096069,0.05
21,0.0064,0.106840594860572,0.810024331518721,1.34291301003967,0.0496255013084754,0.05
22,0.00642,0.107090498180767,0.811475803847553,1.34648853853413,0.0496257032971058,0.05
23,0.00644,0.107345243176304,0.812998026391844,1.35009156356584,0.0496258886708453,0.05
24,0.00646,0.107604540118665,0.814593422674111,1.35371391561408,0.0496260554113214,0.05
25,0.00648,0.107868096085831,0.816264235942135,1.35734753795667,0.0496262015973294,0.05
26,0.0065,0.108135615321743,0.818012507602628,1.36098451499404,0.0496263254150203,0.05
27,0.00652,0.108406799596139,0.819840056550501,1.36461709970368,0.049626425167354,0.05
28,0.00654,0.108681348564211,0.821748459504114,1.36823774010465,0.0496264992827931,0.05
29,0.00656,0.108958960125477,0.823739032451793,1.37183910461738,0.049626546323204,0.05
30,0.00658,0.109239330781328,0.825812813309471,1.37541410620927,0.0496265649909513,0.05
31,0.0066,0.109522155990526,0.827970545883201,1.37895592522294,0.0496265541350961,0.05
32,0.00662,0.109807130522363,0.830212665223923,1.38245803079043,0.049626512756804,0.05
33,0.00664,0.110093948806721,0.832539284454906,1.38591420074376,0.0496264400138469,0.05
34,0.00666,0.110382305280609,0.834950183145046,1.38931853993978,0.0496263352242441,0.05
35,0.00668,0.110671894730586,0.837444797293568,1.39266549692485,0.0496261978690042,0.05
36,0.0067,0.110962412630819,0.840022210983559,1.39594987887348,0.0496260275940714,0.05
37,0.00672,0.11125355547599,0.842681149754135,1.39916686474294,0.0496258242113475,0.05
38,0.00674,0.111545021108782,0.845419975731545,1.40231201659496,0.049625587698882,0.05
39,0.00676,0.111836509041588,0.848236684551917,1.40538128904461,0.0496253182002755,0.05
40,0.00678,0.112127720771873,0.851128904098888,1.40837103680518,0.0496250160232396,0.05
41,0.0068,0.112418360090942,0.854093895070663,1.41127802030738,0.0496246816373998,0.05
42,0.00682,0.11270813338561,0.857128553382086,1.41409940938043,0.0496243156712996,0.05
43,0.00684,0.112996749932762,0.860229414398164,1.41683278499181,0.0496239189087737,0.05
44,0.00686,0.113283922186042,0.863392658986668,1.41947613905186,0.0496234922845226,0.05
45,0.00688,0.113569366054847,0.866614121368399,1.42202787229858,0.0496230368791234,0.05
46,0.0069,0.113852801175007,0.869889298734921,1.42448679028731,0.04962255391335,0.05
47,0.00692,0.114133951171169,0.873213362594943,1.42685209751868,0.0496220447419487,0.05
48,0.00694,0.114412543910625,0.876581171802021,1.42912338974735,0.0496215108468809,0.05
49,0.00696,0.114688311748317,0.879987287208014,1.43130064452234,0.0496209538300386,0.05
50,0.00698,0.11496099176297,0.883425987878834,1.43338421001843,0.0496203754055075,0.05
51,0.007,0.115230325984264,0.886891288801289,1.43537479222572,0.0496197773914452,0.05
52,0.00702,0.115496061610685,0.890376960002617,1.43727344057221,0.0496191617015005,0.05
53,0.00704,0.115757951218477,0.893876546997196,1.43908153206204,0.0496185303360257,0.05
54,0.00706,0.116015752961147,0.897383392468942,1.4408007540177,0.0496178853729173,0.05
55,0.00708,0.116269230759642,0.900890659090943,1.44243308552236,0.0496172289581901,0.05
56,0.0071,0.116518154483494,0.904391353379272,1.44398077766312,0.0496165632964541,0.05
57,0.00712,0.116762300122467,0.907878350472226,1.44544633268229,0.0496158906411302,0.05
58,0.00714,0.117001449949129,0.911344419721933,1.44683248214807,0.0496152132846132,0.05
59,0.00716,0.1172353926722,0.914782250981198,1.44814216426072,0.0496145335483347,0.05
60,0.00718,0.117463923580814,0.918184481465103,1.44937850041379,0.0496138537727918,0.05
61,0.0072,0.117686844679859,0.921543723063948,1.45054477113322,0.049613176307611,0.05
62,0.00722,0.11790396481635,0.924852589981916,1.45164439151966,0.0496125035016256,0.05
63,0.00724,0.11811509979708,0.928103726574197,1.45268088632135,0.0496118376930482,0.05
64,0.00726,0.118320072497731,0.931289835254268,1.45365786476587,0.049611181199794,0.05
65,0.00728,0.118518712963422,0.934403704342615,1.45457899528027,0.049610536309924,0.05
66,0.0073,0.11871085850099,0.937438235728377,1.45544798022853,0.0496099052722895,0.05
67,0.00732,0.118896353763233,0.940386472216243,1.45626853079516,0.049609290287438,0.05
68,0.00734,0.119075050825096,0.94324162443234,1.45704434214231,0.0496086934987262,0.05
69,0.00736,0.119246809252189,0.94599709716493,1.45777906896575,0.0496081169837619,0.05
70,0.00738,0.119411496161774,0.948646515018167,1.45847630157317,0.0496075627461624,0.05
71,0.0074,0.119568986276342,0.95118374726097,1.45913954260449,0.0496070327076396,0.05
72,0.00742,0.119719161970082,0.953602931755862,1.45977218451066,0.0496065287004725,0.05
73,0.00744,0.119861913308391,0.955898497857949,1.46037748790328,0.0496060524603646,0.05
74,0.00746,0.11999713808077,0.95806518817843,1.46095856088236,0.0496056056197711,0.05
75,0.00748,0.120124741826984,0.960098079112615,1.46151833944448,0.0496051897015797,0.05
76,0.0075,0.12024463785712,0.961992600038204,1.46205956906784,0.0496048061133371,0.05
77,0.00752,0.120356747265468,0.963744551095843,1.46258478756449,0.0496044561419357,0.05
78,0.00754,0.120460998938377,0.965350119470638,1.46309630928326,0.0496041409487417,0.05
79,0.00756,0.120557329556597,0.966805894100419,1.46359621074028,0.0496038615653269,0.05
80,0.00758,0.120645683591903,0.968108878743885,1.46408631774601,0.049603618889642,0.05
81,0.0076,0.120726013298487,0.969256503349534,1.46456819409071,0.0496034136827767,0.05
82,0.00762,0.120798278699127,0.970246633674252,1.46504313184146,0.0496032465662441,0.05
83,0.00764,0.120862447566331,0.971077579108639,1.46551214329655,0.0496031180198143,0.05
84,0.00766,0.120918495398655,0.971748098674615,1.46597595463368,0.0496030283799159,0.05
85,0.00768,0.120966405392323,0.97225740516938,1.46643500128056,0.0496029778386102,0.05
86,0.0077,0.121006168408172,0.972605167438512,1.46688942502737,0.0496029664430848,0.05
87,0.00772,0.121037782934238,0.972791510769746,1.46733907289172,0.0496029940957579,0.05
88,0.00774,0.121061255043998,0.972817015407596,1.46778349773837,0.0496030605549403,0.05
