case_id,noise_profile,skew_ns,seed,observation,estimator,cell_id,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,divergence_flag,projection_saturation,projection_activations,invalid_updates,timing_failure,nis_mean,nees_parameter,CI_C_contains_true,CI_ESR_contains_true,mu_C,mu_R
PV1-001,10mV_5mA,0,23001,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.64838726671284e-05,0.0501424596961778,4.39515916608949,0.284919392355554,-4.39515916608949,0.284919392355554,2.81915754733754e-12,6.41726565608036e-06,128,0,1,6,0,0,NaN,4.35804114631207,0,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,0,23001,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,8.16951185628619e-05,0.0503993826766632,2.11889820357731,0.798765353326325,2.11889820357731,0.798765353326325,3.42685910703443e-12,1.18541076959944e-06,14,0,0,0,0,0,NaN,1.00897010196837,1,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,0,23001,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.68755195063749e-05,0.0503308320066557,3.9056006170314,0.661664013311447,-3.9056006170314,0.661664013311447,1.02624696044288e-12,1.06484255880383e-05,38,0,0,0,0,0,0.176946304265495,8.98124427123307,0,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,0,23001,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,8.15174571892877e-05,0.0504513653787785,1.89682148660963,0.90273075755698,1.89682148660963,0.90273075755698,1.22491332829693e-12,4.69466448371538e-06,14,0,0,0,0,0,0.474301854071196,1.99525687414519,1,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,0,23001,O0 Mixed,E3 LTV/Joseph,O0-E3,8e-05,0.05,7.6816855113001e-05,0.0501492523898365,3.97893110874871,0.298504779672926,-3.97893110874871,0.298504779672926,1.01861608592057e-12,3.79594433412751e-06,76,0,0,0,0,0,0.179155679021432,9.67247865986609,0,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,0,23001,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,8.15133120627905e-05,0.0504476305492846,1.89164007848814,0.895261098569278,1.89164007848814,0.895261098569278,1.20019470856049e-12,1.47758158872022e-06,14,0,0,0,0,0,0.489259229630869,2.11659929641179,1,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,20,33001,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.52909225298532e-05,0.0517733560140915,5.88634683768352,3.54671202818304,-5.88634683768352,3.54671202818304,2.64734378033474e-12,6.41726565608036e-06,1024,0,1,8,0,0,NaN,9.5211079286566,0,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,20,33001,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,8.01014329250889e-05,0.0504617281126933,0.126791156361095,0.92345622538661,0.126791156361095,0.92345622538661,3.16718156063045e-12,1.18541076959944e-06,97,0,0,0,0,0,NaN,0.183103994026293,1,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,20,33001,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.55078252759997e-05,0.0515886195858314,5.61521840500039,3.17723917166273,-5.61521840500039,3.17723917166273,9.55140978456857e-13,1.06484255880383e-05,35,0,0,0,0,0,0.164951361563099,19.8024257993649,0,1,3618.44812371239,2338583.97682152
PV1-001,10mV_5mA,20,33001,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,7.98408815845684e-05,0.0500916404534199,0.19889801928954,0.183280906839856,-0.19889801928954,0.183280906839856,1.12720825001672e-12,4.69466448371538e-06,34,0,0,0,0,0,0.471340588706523,0.0241609670687329,1,1,3618.44812371239,2338583.97682152
