path_id,ADC_mode,voltage_architecture,nominal_bits,ENOB,fs_adc_Hz,multi_cycle,quantization_case,calibration_level,fusion_method,C_est_F,ESR_est_Ohm,C_MAPE_percent,C_MAPE_p95_percent,ESR_MAPE_percent,ESR_MAPE_p95_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,NIS_C_mean,NIS_R_mean,NEES_mean,CI_C_95_coverage,CI_ESR_95_coverage,accuracy_pass,confidence_pass
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q1_deterministic,Cal3,TS_SLTVKE_sequential,9.33936736779334e-05,0.0566139965794787,21.5282823092641,45.6044558231973,35.3038690884542,66.7372965252008,-6.60632632206661,13.2279931589575,6.7152116828728e-10,0.000397792479948232,0,0,6.57736642567821,0.6875,0.9375,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q1_deterministic,Cal3,weighted_batch_average,0.000109117325715962,0.0501355800001611,11.8656954886238,14.4866410013723,27.5788868864385,64.5294459499263,9.11732571596162,0.271160000322102,9.29895798013701e-11,0.00028145213522943,0,0,1.5172393484325,0.96875,1,0,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q1_deterministic,Cal3,robust_trimmed_mean,0.000107281771127767,0.053919254681781,12.7639826320238,40.4834134371444,32.0792643551875,64.6807859673002,7.2817711277674,7.83850936356199,1.7616456573581e-10,0.000356895446152636,0,0,2.2856057605747,0.9375,1,0,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q2_2mV,Cal3,TS_SLTVKE_sequential,3817455927.55245,0.0577863384807175,3.81745592755238e+15,1.2339046468185e+16,67.6082676160957,149.951950930132,3.81745592755235e+15,15.5726769614351,3.20658062953986e+19,0.00179093931126335,0,0,4.47902854777566,0.90625,0.96875,0,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q2_2mV,Cal3,weighted_batch_average,2281140502.2987,0.0537775788742728,2.28114050229865e+15,1.22172100344783e+16,73.698442158601,210.798678318204,2.2811405022986e+15,7.55515774854552,2.25504462711889e+19,0.00219539618522864,0,0,3.58599697842816,0.875,0.9375,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q2_2mV,Cal3,robust_trimmed_mean,2672826783.8915,0.0502757610043506,2.67282678389145e+15,1.23193333206733e+16,72.2026866806515,217.838115954864,2.6728267838914e+15,0.551522008701166,2.55175277762167e+19,0.0022058914268188,0,0,5.85255465865938,0.84375,0.9375,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q3_full_nonideal,Cal3,TS_SLTVKE_sequential,3074651920.67242,0.0489722663077442,3.07465192067236e+15,1.23200264558351e+16,81.7933100968726,150.05031820414,3.07465192067232e+15,-2.05546738451159,2.83607855977413e+19,0.00228942894253657,0,0,11.5709571809936,0.78125,0.96875,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q3_full_nonideal,Cal3,weighted_batch_average,2652646542.21848,0.0523724928505205,2.65264654221843e+15,1.22556093476681e+16,87.4096189524459,143.656283115872,2.65264654221838e+15,4.74498570104103,2.51360946613819e+19,0.00273903845775692,0,0,2.88853965395081,0.9375,0.96875,0,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,1,Q3_full_nonideal,Cal3,robust_trimmed_mean,3049440228.29362,0.0423242050379678,3.04944022829357e+15,1.23269733161517e+16,78.0258960233642,219.036024942645,3.04944022829352e+15,-15.3515899240644,2.79011128880433e+19,0.00225589513703924,0,0,5.70223580495182,0.84375,0.9375,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q1_deterministic,Cal3,TS_SLTVKE_sequential,9.32745178741617e-05,0.0565980655595589,21.2409486688637,45.033164712553,35.278044991256,65.460244160712,-6.72548212583827,13.1961311191177,6.57364936208753e-10,0.000396934087713689,0,0,6.46035732746442,0.6875,1,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q1_deterministic,Cal3,weighted_batch_average,0.000108968750099504,0.0500792104165975,11.7616432437498,12.9399261032949,27.8623718797683,64.2262394608284,8.96875009950395,0.158420833194906,9.33853174511907e-11,0.000285793281311123,0,0,1.55529866512215,0.96875,1,0,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q1_deterministic,Cal3,robust_trimmed_mean,0.000107135395465186,0.053999605654849,12.720419691548,41.2893772441137,32.4176109854236,65.6035625177863,7.13539546518636,7.99921130969796,1.79411520187494e-10,0.000364989337354228,0,0,2.3668026896093,0.9375,1,0,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q2_2mV,Cal3,TS_SLTVKE_sequential,383655196.121708,0.0511037369935529,383655196121639,342.572647084586,38.2945615951472,83.6101402667876,383655196121608,2.2074739871057,4.56293059484361e+18,0.000532324651499819,0.836630686816594,0.852123847683568,3.51398954638973,0.8125,0.96875,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q2_2mV,Cal3,weighted_batch_average,382856165.454654,0.050819216353402,382856165454583,344.945440881827,42.6226722940178,102.256478728338,382856165454554,1.63843270680395,4.54394414622265e+18,0.000661967343829134,0.831466299860936,0.831466299860936,7.39363200488455,0.90625,0.9375,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q2_2mV,Cal3,robust_trimmed_mean,0.000121839365813425,0.0487314679143467,66.8403544744959,343.060086943347,39.6393520728718,104.701930051633,21.8393658134254,-2.53706417130652,1.25652021539937e-08,0.000634173808050232,0.908932104195806,0.650712756412907,5.17907881972566,0.6875,0.9375,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q3_full_nonideal,Cal3,TS_SLTVKE_sequential,1141909301.62457,0.050798903706828,1.14190930162449e+15,1.21789157933763e+16,41.1727530895101,84.4903551012219,1.14190930162447e+15,1.597807413656,1.26049308989414e+19,0.000599893598175134,1.14132951720042,1.14132951720042,2.55271321337192,0.9375,1,0,1
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q3_full_nonideal,Cal3,weighted_batch_average,757585284.811173,0.0550632519416572,757585284811109,1.0859161077659e+16,50.3404878709524,123.68518716623,757585284811074,10.1265038833145,8.60922537517218e+18,0.00098188373649306,0.97606913461936,1.0690280998212,8.3861273857059,0.78125,0.84375,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,4,Q3_full_nonideal,Cal3,robust_trimmed_mean,384638677.729535,0.0576164641674185,384638677729464,346.92369507936,59.9507974368736,170.002101007281,384638677729435,15.2329283348371,4.58635428456782e+18,0.00132657096504998,1.03804177808726,1.01221984330897,7.04154435181747,0.84375,0.875,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,16,Q1_deterministic,Cal3,TS_SLTVKE_sequential,9.33612049417089e-05,0.0565785904338804,21.3125599672609,44.8902996555202,35.4362218624772,65.5234656341555,-6.63879505829114,13.1571808677608,6.59316602442858e-10,0.000399942494929232,0,0,6.45883451400222,0.6875,1,0,0
native_12_V1,native_12bit_highspeed,V1,12,10.5,4000000,16,Q1_deterministic,Cal3,weighted_batch_average,0.000108827297408525,0.0501283442056464,11.604050515815,11.3608113897,27.9518936316414,65.1564836841885,8.82729740852506,0.256688411292805,9.16097747254192e-11,0.000288733842443721,0,0,1.55013019153952,0.96875,1,0,1
