configuration,fs_adc_Hz,adc_interval_s,adc_bits,sample_phase,window_requested_us,window_actual_us,points_available_pre,points_available_post,sampling_geometry_feasible,duty_on_margin_us,duty_off_margin_us,afe_order,afe_fc_v_Hz,afe_fc_i1_Hz,afe_fc_i2_Hz,alias_ratio_dB,edge_predicted_variance_V2,edge_empirical_variance_V2,esr_predicted_sigma_Ohm,esr_empirical_sigma_Ohm,C_information,ESR_information,estimator_variant,gain_mask_used,data_policy,double_counting_flag,NIS_V,NIS_C,NIS_R,NEES_full,NEES_param,CI_C_contains_true,CI_ESR_contains_true,parasitic_model,ring_freq_Hz,ring_zeta,ring_overshoot_V,ring_settle_s,modelB_waveform_NRMSE,CRLB_C,CRLB_ESR,rmse_to_crlb_C,rmse_to_crlb_ESR,C_MAPE_percent,ESR_MAPE_percent,status
rejected_v2_like,800000,1.25e-06,16,0.13,2,0,0,0,0,5.5,9.5,2,2000000,1000000,1000000,-20.7946412442053,NaN,NaN,NaN,NaN,264277.433185193,359445589.127647,conditional_structured,0,disjoint,0,0.447357691015176,0.464864740436633,NaN,0.773831611234078,0.746184671183241,1,1,Simscape_Model_B,NaN,1,0.10348168657309,NaN,0.556548924117749,3.78390234817835e-14,2.78206223764476e-09,1.9212116776775,1.92012711259189,2.69027529029165,20,FAIL
minimum_candidate,1600000,6.25e-07,16,0.13,2,1.875,3,3,1,5.5,9.5,2,2000000,1000000,1000000,-25.3995343513497,2.05109683437125e-06,1.97132274868397e-06,0.00143216508628414,0.00140403801539843,185492.556304152,159367285.415967,conditional_structured,0,disjoint,0,0.195774614539206,0.930044914775406,0.991278547827558,0.773831611234078,0.746184671183241,1,1,Simscape_Model_B,NaN,1,0.10348168657309,NaN,0.556548924117749,5.39105191024647e-14,6.27481353773381e-09,2.17346874784176,2.10836727122248,0.0741022551611681,0.526337171876745,PASS
recommended_bench,5000000,2e-07,16,0.13,2,1.8,10,10,1,5.5,9.5,2,2000000,1000000,1000000,-40.0008198212914,1.0122778758465e-06,1.0219771609095e-06,0.00100612020944145,0.00101092886045928,264275.912024355,360443925.860593,conditional_structured,0,disjoint,0,0.28857090831387,1.04790209873135,0.836052246295634,0.773831611234078,0.746184671183241,1,1,Simscape_Model_B,NaN,1,0.10348168657309,NaN,0.556548924117749,3.78392412815831e-14,2.77435664261066e-09,2.27129454764746,3.26752108395725,0.978560150136121,0.0882402489253753,PASS
