operating_case,Vin_V,D,Rload_Ohm,i1_min_A,i1_max_A,i2_min_A,i2_max_A,i1_edge_A,i2_edge_A,I_sum_edge_A,Q_safe_C,vT_median_V,vT_max_V,plant_vCM_min_V,plant_vCM_max_V,edge_slope_V_per_s,CCM
low_CCM,24,0.4,30,0.0206414884060404,0.443479384530615,0.185682186171965,0.608006767603928,0.237182698312351,0.401686543942838,0.638869242255188,2.70035721633785e-06,39.8411703854547,39.8746469276165,-19.9327958955969,19.9373234638082,7391.71261479426,1
nominal,24,0.4,10,0.763069814130124,1.18248244934174,1.25324561605713,1.67852389850191,0.977579641212274,1.47091888907529,2.44849853028756,1.04478084858159e-05,39.8317385273166,39.9109355921185,-19.9071753981501,19.9554677960592,18066.9060395933,1
high_load,24,0.4,5,1.85936203995371,2.27315001695198,2.83662376224069,3.26618943831209,2.0704907292927,3.05672883785741,5.12721956715012,2.20101991994153e-05,39.8106183400511,40.0224367651814,-19.8923926402717,20.0112183825907,33892.6534458405,1
high_D,24,0.65,7.5,10.1873711897711,10.8769073313944,5.18154795825476,5.87689492363822,10.5293552628272,5.52973525851252,16.0556944384439,6.46363415596168e-05,68.3499448770754,69.3964375213398,-34.3427620867934,34.6982187606699,102375.639325083,1
