edge_guard_us,edge_window_us,edge_points_per_side,valid_edges,ESR_MAPE_percent,ESR_p95_MAPE_percent,edge_fit_rmse_V,edge_fit_variance_V2,latency_us,samples_per_cycle,status,edge_method
0.1,0.5,3,148,0.00559762862862301,0.00610954252127427,3.18738080623515e-06,6.09563784623609e-11,0.6,160,PASS,timestamped_linear
0.1,0.5,4,148,0.00559762862862301,0.00610954252127427,3.18738080623515e-06,6.09563784623609e-11,0.6,160,PASS,timestamped_linear
0.1,0.5,6,0,NaN,NaN,NaN,NaN,0.6,160,FAIL,timestamped_linear
0.1,0.5,8,0,NaN,NaN,NaN,NaN,0.6,160,FAIL,timestamped_linear
0.1,1,3,148,0.0168922323469378,0.0184373411007688,1.46017094992065e-05,3.45197013868801e-10,1.1,160,PASS,timestamped_linear
0.1,1,4,148,0.0168922323469378,0.0184373411007688,1.46017094992065e-05,3.45197013868801e-10,1.1,160,PASS,timestamped_linear
0.1,1,6,148,0.0168922323469378,0.0184373411007688,1.46017094992065e-05,3.45197013868801e-10,1.1,160,PASS,timestamped_linear
0.1,1,8,148,0.0168922323469378,0.0184373411007688,1.46017094992065e-05,3.45197013868801e-10,1.1,160,PASS,timestamped_linear
0.1,1.5,3,148,0.0341884639100842,0.0373162050584519,3.35978913581725e-05,1.02619845792421e-09,1.6,160,PASS,timestamped_linear
0.1,1.5,4,148,0.0341884639100842,0.0373162050584519,3.35978913581725e-05,1.02619845792421e-09,1.6,160,PASS,timestamped_linear
0.1,1.5,6,148,0.0341884639100842,0.0373162050584519,3.35978913581725e-05,1.02619845792421e-09,1.6,160,PASS,timestamped_linear
0.1,1.5,8,148,0.0341884639100842,0.0373162050584519,3.35978913581725e-05,1.02619845792421e-09,1.6,160,PASS,timestamped_linear
0.1,2,3,148,0.0574895475146553,0.0627499543319876,6.01839150469869e-05,2.2767508533842e-09,2.1,160,PASS,timestamped_linear
0.1,2,4,148,0.0574895475146553,0.0627499543319876,6.01839150469869e-05,2.2767508533842e-09,2.1,160,PASS,timestamped_linear
0.1,2,6,148,0.0574895475146553,0.0627499543319876,6.01839150469869e-05,2.2767508533842e-09,2.1,160,PASS,timestamped_linear
0.1,2,8,148,0.0574895475146553,0.0627499543319876,6.01839150469869e-05,2.2767508533842e-09,2.1,160,PASS,timestamped_linear
0.1,3,3,148,0.122092596803303,0.133268386346824,0.000136113417011969,7.17641306120984e-09,3.1,160,PASS,timestamped_linear
0.1,3,4,148,0.122092596803303,0.133268386346824,0.000136113417011969,7.17641306120984e-09,3.1,160,PASS,timestamped_linear
0.1,3,6,148,0.122092596803303,0.133268386346824,0.000136113417011969,7.17641306120984e-09,3.1,160,PASS,timestamped_linear
0.1,3,8,148,0.122092596803303,0.133268386346824,0.000136113417011969,7.17641306120984e-09,3.1,160,PASS,timestamped_linear
0.2,0.5,3,148,0.0124220327171354,0.0135581317311506,3.1871036241734e-06,1.09702398765077e-10,0.7,160,PASS,timestamped_linear
0.2,0.5,4,148,0.0124220327171354,0.0135581317311506,3.1871036241734e-06,1.09702398765077e-10,0.7,160,PASS,timestamped_linear
0.2,0.5,6,0,NaN,NaN,NaN,NaN,0.7,160,FAIL,timestamped_linear
0.2,0.5,8,0,NaN,NaN,NaN,NaN,0.7,160,FAIL,timestamped_linear
