test_id,model_type,Vin,D,load_percent,fs_Hz,C_true_F,ESR_true_Ohm,noise_SNR_dB,adc_bits,samples_per_cycle,sync_error_s,ESL_H,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,rank_Phi,cond_Phi,rank_Obs,cond_Obs,min_singular_Obs,status,notes,algorithm_version,edge_method,pre_projection_C,pre_projection_ESR,post_projection_C,post_projection_ESR,sample_phase_fraction,common_pwm_offset_ns,voltage_delay_ns,i1_delay_ns,i2_delay_ns,jitter_rms_ns,adc_aperture_ns,voltage_frontend_fc_Hz,i1_frontend_fc_Hz,i2_frontend_fc_Hz,edge_guard_us,edge_window_us,edge_points_per_side,edge_fit_order,edge_fit_rmse_V,edge_fit_variance_V2,R_V,R_C,R_R,NIS_V,NIS_C,NIS_R,gate_V,gate_C,gate_R,rank_Obs_normalized,cond_Obs_normalized,min_sv_Obs_normalized,info_min_eig,info_cond,sigma_v_mV_RMS,sigma_i_mA_RMS,test_family
baseline_11,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,1e-08,0,adjacent-edge assignment,5e-05,50,0.005,90,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,4.91066179709507e-05,0.000263973409272777,5e-05,0.005,NaN,10,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_12,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,2e-08,0,adjacent-edge assignment,5e-05,50,0.005,90,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,4.91066179709507e-05,0.000263973409272777,5e-05,0.005,NaN,20,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_13,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,4e-08,0,adjacent-edge assignment,5e-05,50,0.005,90,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,4.92100585832514e-05,0.000263842896592505,5e-05,0.005,NaN,40,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_14,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,1e-07,0,adjacent-edge assignment,5.00011885730943e-05,49.9988114269057,0.00500027357583509,89.9994528483298,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,4.9522943224311e-05,0.000263451476981167,5.00011885730943e-05,0.00500027357583509,NaN,100,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
baseline_15,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,2e-07,0,adjacent-edge assignment,5.00643785116259e-05,49.9356214883741,0.00500163896570686,89.9967220685863,NaN,2,NaN,NaN,NaN,NaN,FAIL,sample-index cliff diagnostic; pre/post projection retained,v1,adjacent,5.00531205310562e-05,0.000262799505792468,5.00643785116259e-05,0.00500163896570686,NaN,200,0,0,0,0,0,Inf,Inf,Inf,0.5,2,3,1,NaN,NaN,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,baseline_cliff
edge_1,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-1e-06,0,adjacent,0.000102901667767545,2.90166776754548,-0.000777749567110506,101.555499134221,NaN,NaN,NaN,NaN,NaN,NaN,FAIL,edge-only comparison; raw estimates are not projected,v1,adjacent,0.000102901667767545,-0.000777749567110506,0.000102901667767545,-0.000777749567110506,NaN,-1000,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,0,0,0,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_2,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-1e-06,0,timestamped_linear,0.000102901667767545,2.90166776754548,-0.0143449487503833,128.689897500767,NaN,NaN,NaN,NaN,NaN,NaN,FAIL,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,timestamped_linear,0.000102901667767545,-0.0143449487503833,0.000102901667767545,-0.0143449487503833,NaN,-1000,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,1,0.0201596792811076,0.00190025763207262,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_3,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-1e-06,0,robust_polynomial,0.000102901667767545,2.90166776754548,-0.0653759215457641,230.751843091528,NaN,NaN,NaN,NaN,NaN,NaN,FAIL,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,robust_polynomial,0.000102901667767545,-0.0653759215457641,0.000102901667767545,-0.0653759215457641,NaN,-1000,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,2,0.0139918964841217,0.000707220368277474,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_4,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-5e-07,0,adjacent,9.99999881024833e-05,1.18975166718549e-05,-0.000770003457029173,101.540006914058,NaN,NaN,NaN,NaN,NaN,NaN,FAIL,edge-only comparison; raw estimates are not projected,v1,adjacent,9.99999881024833e-05,-0.000770003457029173,9.99999881024833e-05,-0.000770003457029173,NaN,-500,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,0,0,0,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
edge_5,Model_A,24,0.4,100,50000,0.0001,0.05,NaN,NaN,80,-5e-07,0,timestamped_linear,9.99999881024833e-05,1.18975166718549e-05,0.0449415561736937,10.1168876526126,NaN,NaN,NaN,NaN,NaN,NaN,FAIL,edge-only comparison; raw estimates are not projected,v2_TR_TS_LTVKF,timestamped_linear,9.99999881024833e-05,0.0449415561736937,9.99999881024833e-05,0.0449415561736937,NaN,-500,0,0,0,0,0,Inf,Inf,Inf,0.5,1.5,3,1,3.6058534102712e-05,5.21282651102005e-09,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06,NaN,NaN,NaN,9,9,9,NaN,NaN,NaN,NaN,NaN,0,0,edge_estimator
