validation_case,seed,C_true_F,ESR_true_Ohm,C_hat_F,ESR_hat_Ohm,C_abs_error_percent,ESR_abs_error_percent,C_CI95_covered,ESR_CI95_covered,ENOB,effective_edge_CMRR_dB,VREF_noise_uV_rms,clock_jitter_ns_rms,failure_cause
low_CCM,1,0.0001,0.05,0.000100056256548377,0.0493066732317013,0.0562565483773101,1.38665353659732,1,1,13.397344031072,68.0638148905757,10.4367046728419,2.29531988518269,PASS
low_CCM,2,0.0001,0.05,9.99845846513572e-05,0.0504597233110475,0.0154153486428007,0.919446622094922,1,1,13.6572544161856,73.440283715173,9.73051869512932,2.39789283371188,PASS
low_CCM,3,0.0001,0.05,9.94928211272434e-05,0.0511773021281162,0.507178872756586,2.35460425623249,1,1,13.5401038993212,68.7692451414954,5.73666321286661,2.54037939606394,PASS
low_CCM,4,0.0001,0.05,0.000100056009940689,0.0504046599717384,0.0560099406890876,0.809319943476869,1,1,12.8877558180951,70.4580060719219,9.36649887019032,2.26882641742768,PASS
low_CCM,5,0.0001,0.05,9.99731323528055e-05,0.0485666760310313,0.0268676471945183,2.86664793793739,1,1,13.0924195123469,69.7570567337015,6.70593102346432,2.06628227580103,PASS
low_CCM,6,0.0001,0.05,0.00010010269550865,0.0496072670074773,0.102695508649608,0.785465985045336,1,1,13.4358651850843,67.2340555896657,14.3242341733768,1.90915812913034,PASS
low_CCM,7,0.0001,0.05,0.000100260915728934,0.0497146777998974,0.260915728933505,0.570644400205253,1,1,13.3967902371747,72.341883488743,11.6772407355834,1.49947497558881,PASS
low_CCM,8,0.0001,0.05,9.8856974592562e-05,0.0498834643046614,1.14302540743801,0.233071390677159,1,1,13.0431783655279,70.1390317662788,9.64879607774715,1.36205116269287,PASS
low_CCM,9,0.0001,0.05,9.90308507771092e-05,0.0505132430054715,0.969149222890755,1.02648601094296,1,1,13.1735238198458,70.2608907177038,9.38381448447718,1.50279911989813,PASS
low_CCM,10,0.0001,0.05,9.96658057060391e-05,0.0496349648827504,0.334194293960898,0.730070234499128,1,1,14.4315968728779,73.8459185239528,8.72809775995423,2.4725765139003,PASS
low_CCM,11,0.0001,0.05,9.89946958016485e-05,0.0492703781999632,1.00530419835151,1.45924360007361,1,1,12.8562532452621,70.7049575566997,10.6110115329327,1.88566914734741,PASS
low_CCM,12,0.0001,0.05,9.95112639965662e-05,0.0500959462516127,0.488736003433763,0.191892503225474,1,1,13.2947386547702,67.3378054264424,10.7528265298684,1.76173094411577,PASS
low_CCM,13,0.0001,0.05,0.000100050203549588,0.0498403081624318,0.0502035495881831,0.31938367513637,1,1,13.3584430277834,67.3276704267316,12.4315918919222,1.53056708673571,PASS
low_CCM,14,0.0001,0.05,0.000101712370505941,0.0503589878756064,1.7123705059414,0.717975751212699,0,1,13.9578846605919,71.3894968017702,13.5713133351911,1.44175862794234,PASS
low_CCM,15,0.0001,0.05,9.98781764520526e-05,0.0484151172571922,0.121823547947361,3.16976548561554,1,0,13.5352570096441,72.089846245938,10.5149563565995,3.09473995336556,PASS
low_CCM,16,0.0001,0.05,0.000100217763421964,0.0496883434051514,0.217763421963681,0.623313189697147,1,1,14.14791846276,71.1489799450001,9.04380259319875,2.18104364965052,PASS
low_CCM,17,0.0001,0.05,9.95418899603735e-05,0.0496850835135415,0.458110039626501,0.629832972916994,1,1,12.964182203051,68.3163049904567,5.91202041293487,1.51941383408755,PASS
low_CCM,18,0.0001,0.05,0.000100110619566716,0.0497746900504207,0.110619566715529,0.450619899158691,1,1,13.1016881944603,72.036801566316,8.69291891214068,1.54343502949793,PASS
low_CCM,19,0.0001,0.05,0.000100105932735453,0.0487941806237668,0.105932735453137,2.41163875246646,1,1,13.3151944081954,66.9162678554964,15.0634652198869,1.56235506367353,PASS
low_CCM,20,0.0001,0.05,9.87392255364142e-05,0.0494906314871988,1.26077446358584,1.01873702560244,1,1,12.8599132183276,70.5365038599979,9.50480024816261,1.77345928321527,PASS
low_CCM,21,0.0001,0.05,0.000100625876220226,0.0512445251534073,0.62587622022603,2.48905030681451,1,1,12.9401080235988,69.8661518254548,9.27284725239585,2.56396871698456,PASS
low_CCM,22,0.0001,0.05,9.97090773791238e-05,0.0498407799930428,0.290922620876249,0.318440013914331,1,1,13.2813636874565,71.4486243935252,10.2018451048747,2.47245547716485,PASS
low_CCM,23,0.0001,0.05,0.000100092544809976,0.0502083114072038,0.0925448099758046,0.416622814407658,1,1,13.5911870324168,69.9626352464609,11.0082744025473,2.85739855868426,PASS
low_CCM,24,0.0001,0.05,0.000101329936267232,0.0495747629943732,1.32993626723174,0.850474011253669,1,1,13.4563418970441,69.3896831347733,10.6140047679808,1.5402790404198,PASS
low_CCM,25,0.0001,0.05,0.000101018991590822,0.049409647362216,1.01899159082189,1.18070527556806,1,1,13.9025554653102,69.0393233848031,8.48994319779031,1.44396170830841,PASS
low_CCM,26,0.0001,0.05,9.95185159688843e-05,0.0492383309686477,0.481484031115723,1.52333806270459,1,1,14.0297100592397,70.3350938444499,9.0113214491117,2.75087473942805,PASS
low_CCM,27,0.0001,0.05,9.90767189097249e-05,0.0487261766978896,0.923281090275098,2.54764660422087,1,1,13.6202874883742,67.4585957582435,15.7464216066147,1.91694740706574,PASS
low_CCM,28,0.0001,0.05,9.85505468776712e-05,0.0501562994090737,1.44945312232881,0.312598818147422,1,1,13.5988751750548,68.0019000017177,9.48157111372364,1.6812205186538,PASS
low_CCM,29,0.0001,0.05,0.000100028993979593,0.0499744704360984,0.0289939795928006,0.0510591278033018,1,1,13.8028964640665,70.3174489770814,9.38820335296306,1.69906233239622,PASS
low_CCM,30,0.0001,0.05,0.000101242080451047,0.0492430812981023,1.242080451047,1.51383740379539,1,1,13.4354173757085,70.0559675891788,9.98952250073292,1.64407266764804,PASS
low_CCM,31,0.0001,0.05,0.000101458060324465,0.0502240829012862,1.45806032446461,0.448165802572453,1,1,14.1578778335066,71.3388957805056,11.2477197534396,2.5537619987804,PASS
low_CCM,32,0.0001,0.05,9.95521182783052e-05,0.0504890944063935,0.447881721694793,0.978188812786954,1,1,13.8925564021407,71.3006347098791,7.63832033901013,2.09253530714623,PASS
low_CCM,33,0.0001,0.05,9.97658257939e-05,0.0503523086856594,0.234174206100037,0.704617371318786,1,1,13.5652657058733,70.6410696304704,6.0599856899768,2.56707554778756,PASS
