noise,C_factor,ESR_factor,Rload,seed,method,tail_C_err,tail_ESR_err,conv_cycles,joint_coverage,resets
10mV_5mA,0.8,2,6.89655172413793,1,KF,0.15550381777665,0.157939386101227,52,98.7,0
10mV_5mA,0.8,2,6.89655172413793,1,HYBRID,0.15550381777665,0.157939386101227,52,98.7,0
10mV_5mA,0.8,2,6.89655172413793,2,RLS,0.397565215838875,0.268028885281719,200,100,0
10mV_5mA,0.8,2,6.89655172413793,2,KF,0.555067536636575,0.381573983649983,84,96.4,0
10mV_5mA,0.8,2,6.89655172413793,2,HYBRID,0.555067536636575,0.381573983649983,84,96.4,0
10mV_5mA,0.8,2,6.89655172413793,3,RLS,1.856598808745,0.239833803114257,10,100,0
10mV_5mA,0.8,2,6.89655172413793,3,KF,2.36035663555356,0.291645954859346,31,24.6,0
10mV_5mA,0.8,2,6.89655172413793,3,HYBRID,2.36035663555356,0.291645954859346,31,24.6,0
nominal,0.9,1,17.2413793103448,1,RLS,0.0640887763272883,0.0391175816076356,5,100,0
nominal,0.9,1,17.2413793103448,1,KF,0.202577080081687,0.206100976785112,2,85.2,0
nominal,0.9,1,17.2413793103448,1,HYBRID,0.202577080081687,0.206100976785112,2,85.2,0
nominal,0.9,1,17.2413793103448,2,RLS,0.0867052694366746,0.0454931079707299,6,100,0
nominal,0.9,1,17.2413793103448,2,KF,0.152002660138709,0.319160672886053,3,99.7,0
nominal,0.9,1,17.2413793103448,2,HYBRID,0.152002660138709,0.319160672886053,3,99.7,0
nominal,0.9,1,17.2413793103448,3,RLS,0.186125904429423,0.122770915987787,14,100,0
nominal,0.9,1,17.2413793103448,3,KF,0.0544669122290507,0.217683637265233,5,97.8,0
nominal,0.9,1,17.2413793103448,3,HYBRID,0.0544669122290507,0.217683637265233,5,97.8,0
10mV_5mA,0.9,1,17.2413793103448,1,RLS,0.825556986521272,0.136135013293125,373,100,0
10mV_5mA,0.9,1,17.2413793103448,1,KF,0.326644140049364,0.438262222888622,15,100,0
10mV_5mA,0.9,1,17.2413793103448,1,HYBRID,0.326644140049364,0.438262222888622,15,100,0
10mV_5mA,0.9,1,17.2413793103448,2,RLS,4.12567111708344,0.303928010533571,58,100,0
