scenario,method,mean_C_metric,mean_ESR_metric,mean_recovery,mean_post_cov,mean_resets
C step,RLS,0.982117765799223,0.0232817999213975,527,100,0
C step,KF,20.9868604553864,0.159024174145172,1200,99.6658312447786,0
C step,HYBRID,0.0312619533029483,0.159024174145172,3.33333333333333,99.3965700710789,1
ESR step,RLS,2.07521308032775,2.42323385007302,867.666666666667,100,0
ESR step,KF,9.29141332428582,50.0169449930184,1200,99.4152046783626,0
ESR step,HYBRID,0.0960673058427403,0.117137683109165,2,98.5142118863049,1
0.1-s joint ramp,RLS,19.1945161264248,12.7540148862056,NaN,NaN,0
0.1-s joint ramp,KF,34.1831678680133,0.403796381824537,NaN,NaN,0
0.1-s joint ramp,HYBRID,10.3151908727265,0.403796381824537,NaN,NaN,5.66666666666667
