noise,method,C_MAPE,ESR_MAPE,C_p95,ESR_p95,mean_conv,mean_joint_coverage,total_resets
nominal,RLS,0.160298959863907,0.0497113155900422,0.40850804748337,0.120862543151566,5.38271604938272,100,0
nominal,KF,0.117806557203468,0.142684648642334,0.276148258923544,0.22298058394456,3.45679012345679,96.8543209876543,0
nominal,HYBRID,0.120252787061389,0.142684648642334,0.276148258923544,0.22298058394456,3.41975308641975,96.8543209876543,7
10mV_5mA,RLS,1.61119933903486,0.289207923249459,4.87687195098495,0.725122441798951,92.4938271604938,100,0
10mV_5mA,KF,1.06877628825101,0.473182900478881,3.42331673363192,0.998808139781658,118.654320987654,93.4012345679012,0
10mV_5mA,HYBRID,1.12127422165467,0.473182900478881,3.70243743752513,0.998808139781658,119.382716049383,93.3802469135803,4
