metric,M1_TS_D_RLS,M2_TS_SLTVKE,M3_Dual_EKF,final_decision
C mean MAPE (%),0.372680462278862,0.301149059504354,0.304340016733086,PRIMARY_TS_SRKE
ESR mean MAPE (%),0.223280348154239,0.644627911791199,1.1938102815942,PRIMARY_TS_SRKE
C p95 (%),1.31818648710039,1.10688368055481,1.14919306233607,PRIMARY_TS_SRKE
ESR p95 (%),0.700200160719177,2.49915946878208,3.86016113580213,PRIMARY_TS_SRKE
Static convergence (cycles),13.2109375,33.09375,40.5794270833333,PRIMARY_TS_SRKE
0.1 s C ramp nRMSE,0.11007163490529,0.395330419539541,0.457209479309811,PRIMARY_TS_SRKE
1 s C ramp nRMSE,0.0238347398672225,0.0636870814631913,0.191817180966081,PRIMARY_TS_SRKE
10 s C ramp nRMSE,0.0266566190149087,0.0121553239191814,0.0165963220797585,PRIMARY_TS_SRKE
0.1 s ESR ramp nRMSE,0.11910843140661,0.0272117641802992,0.0525623928051361,PRIMARY_TS_SRKE
1 s ESR ramp nRMSE,0.00854814754415522,0.0260597358185558,0.0531075970720339,PRIMARY_TS_SRKE
10 s ESR ramp nRMSE,0.00517583648443651,0.0785554961366471,0.0543240477887184,PRIMARY_TS_SRKE
Abrupt C settle (ms),10.72,64.72,61,PRIMARY_TS_SRKE
Abrupt ESR settle (ms),17.68,Inf,0.240000000000001,PRIMARY_TS_SRKE
Load-step false C (%),1.57708715450909,1.67279281362998,1.11967853640199,PRIMARY_TS_SRKE
Load-step false ESR (%),4.46795625974047,6.52637225967039,18.6330043616882,PRIMARY_TS_SRKE
50 ns timing combined p95 (%),0.41746348393238,0.550967097873894,1.16757154500215,PRIMARY_TS_SRKE
Divergence count,0,0,0,PRIMARY_TS_SRKE
Multiplications/frame,28672,47104,63488,PRIMARY_TS_SRKE
DSP estimate/frame (ms),1.39264,2.17088,3.1232,PRIMARY_TS_SRKE
Joint uncertainty coverage (%),13,88.9322916666667,81.9010416666667,PRIMARY_TS_SRKE
Maximum reliable C degradation rate (pu/s),0.2,0.2,0.02,PRIMARY_TS_SRKE
Maximum reliable ESR degradation rate (pu/s),1,10,10,PRIMARY_TS_SRKE
