method,mode,noise_profile,skew_ns,case_count,C_mean_MAPE_percent,ESR_mean_MAPE_percent,C_p95_percent,ESR_p95_percent,convergence_cycles_mean,divergence_count,timing_failure_count,source_model
M3 Dual EKF,Native,5mV_2mA,0,48,0.291327688501048,0.698432297201446,0.821073149560414,1.59315407532553,13.9166666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,5mV_2mA,20,48,0.322832562660965,0.745827756416433,0.766030410815543,1.83249916832004,13.8958333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,5mV_2mA,50,48,0.326293638125666,0.739480462093734,0.755346396594394,1.69239238927978,13.125,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,5mV_2mA,100,48,0.363502962726883,0.870142204235191,1.07731212229081,1.91919334515922,17.0625,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,nominal,0,48,0.0701496477823726,0.303046892248035,0.158424566359267,0.79954541954529,2.66666666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,nominal,20,48,0.0596357652309249,0.889218207126971,0.171995360816253,1.70414987523904,2.66666666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,nominal,50,48,0.0735730239733871,2.34236446924706,0.158161666835043,4.17639696438685,3.33333333333333,0,1,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,nominal,100,48,0.0529506531292361,4.59151633518792,0.132669081432969,6.92215237290353,326.104166666667,0,20,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,10mV_5mA,0,48,0.681281236741288,0.973338240804435,1.60953155637609,2.73462720720864,55.7916666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,10mV_5mA,20,48,0.683406493782588,0.950481051045789,1.78971621298205,2.4157148915787,52.8333333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,10mV_5mA,50,48,0.6379792956162,0.911508355857992,1.29427579968912,2.45772812019611,62.5208333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,10mV_5mA,100,48,0.693797941924933,0.760883371757753,1.38319887946109,2.07517534634024,58.4583333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,F28379D_device_realistic,0,48,0.153534425639368,0.436550318570258,0.384386709183255,1.21779167833135,3.60416666666667,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,F28379D_device_realistic,20,48,0.136087134178438,0.537376621124851,0.335288120950479,1.33108507481586,3.83333333333333,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
M3 Dual EKF,Native,F28379D_device_realistic,50,48,0.163393878503593,1.14695869998236,0.421092446694713,1.9140506433096,5.125,0,0,FROZEN_PV12_RECALIBRATED_ANCHOR
