test_id,adc_bits,samples_per_cycle,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,edge_ESR_MAPE_percent,rank_Phi
1,12,4,RLS,9.83448535109166e-05,1.65514648908341,0.0358297395998082,28.3405208003837,NaN,40.0956800249481,2
2,12,4,TS_LTVKF,0.00015,50,0.0355625202081536,28.8749595836929,NaN,40.0956800249481,2
3,12,8,RLS,9.92214222560472e-05,0.778577743952813,0.049121744104338,1.75651179132392,NaN,19.9098618022504,2
4,12,8,TS_LTVKF,0.00015,50,0.0490570568422547,1.88588631549058,0.0002725,19.9098618022504,2
5,12,16,RLS,0.00010003079953149,0.0307995314899445,0.0482399181899759,3.52016362004821,NaN,10.2638365690918,2
6,12,16,TS_LTVKF,0.00015,50,0.0540466912976571,8.09338259531425,NaN,10.2638365690918,2
7,12,32,RLS,9.94506040549607e-05,0.549395945039299,0.0474855805554932,5.02883888901368,NaN,7.69635306641273,2
8,12,32,TS_LTVKF,0.000100800455037897,0.800455037897096,0.0472745399019637,5.45092019607258,0.0004644,7.69635306641273,2
9,14,4,RLS,9.85521726126321e-05,1.44782738736794,0.0359740417647858,28.0519164704283,NaN,39.5411034286002,2
10,14,4,TS_LTVKF,0.00015,50,0.0442601463830025,11.4797072339951,NaN,39.5411034286002,2
11,14,8,RLS,9.98225282085575e-05,0.177471791442474,0.0491106242371186,1.77875152576283,NaN,19.4272455289489,2
12,14,8,TS_LTVKF,0.000102094813502156,2.09481350215617,0.0587530411009297,17.5060822018593,1e-05,19.4272455289489,2
13,14,16,RLS,9.9858316843452e-05,0.141683156548023,0.0481575519266558,3.6848961466884,NaN,9.30418015494398,2
14,14,16,TS_LTVKF,0.000133039587433943,33.0395874339427,0.0532946058859547,6.58921177190943,NaN,9.30418015494398,2
15,14,32,RLS,9.99645568382528e-05,0.0354431617471729,0.0473032709892647,5.39345802147064,NaN,4.62561894596066,2
16,14,32,TS_LTVKF,0.000100177684858614,0.177684858613536,0.047365008087611,5.26998382477795,8.1e-06,4.62561894596066,2
17,16,4,RLS,9.86139639560152e-05,1.38603604398481,0.0359751552485988,28.0496895028024,NaN,39.3778283202428,2
18,16,4,TS_LTVKF,0.000100030125790973,0.0301257909734121,0.044622547596181,10.754904807638,1.5e-05,39.3778283202428,2
19,16,8,RLS,9.98802351156662e-05,0.119764884333851,0.0491079908377514,1.78401832449731,NaN,19.4977522892792,2
20,16,8,TS_LTVKF,9.93906339091495e-05,0.609366090850516,0.0585615025261112,17.1230050522223,1e-05,19.4977522892792,2
21,16,16,RLS,9.99362578614727e-05,0.0637421385273562,0.0481842645783109,3.63147084337814,NaN,9.28488091328513,2
22,16,16,TS_LTVKF,0.000102172319314698,2.17231931469806,0.0513362260182017,2.67245203640334,3.88e-05,9.28488091328513,2
23,16,32,RLS,9.99867583993785e-05,0.0132416006215053,0.0472772474690569,5.44550506188618,NaN,4.60924015130806,2
24,16,32,TS_LTVKF,0.000100104108620701,0.104108620701382,0.0473796421226794,5.24071575464116,8.1e-06,4.60924015130806,2
