case_id,duty,load_fraction,I_C_min,I_sum_min,T_w_min,kR_min,R_C_max,R_R_max,mu_C_lower,mu_C_empirical,mu_R_lower,mu_R_empirical,ratio_C,ratio_R,sign_invariant
MB-001,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-002,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-003,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-004,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-005,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-006,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-007,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-008,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-009,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-010,0.3,0.625,0.3984413941505,0.47325975320513,2e-06,0.957654065426597,0.0002,0.000200390625,0.317511089145188,0.398154139831048,1025.03586068542,1496.38808219639,1.25398498963601,1.4598397378954,1
MB-011,0.3,1,0.789299282306995,1.02728204091087,2e-06,0.957654065426597,0.0002,0.000200390625,1.24598671410067,1.40117276997041,4829.69054737219,5786.23940168676,1.12454872440735,1.19805593027798,1
MB-012,0.3,1,0.789299282306995,1.02728204091087,2e-06,0.957654065426597,0.0002,0.000200390625,1.24598671410067,1.40117276997041,4829.69054737219,5786.23940168676,1.12454872440735,1.19805593027798,1
MB-013,0.3,1,0.789299282306995,1.02728204091087,2e-06,0.957654065426597,0.0002,0.000200390625,1.24598671410067,1.40117276997041,4829.69054737219,5786.23940168676,1.12454872440735,1.19805593027798,1
MB-014,0.3,1,0.789299282306995,1.02728204091087,2e-06,0.957654065426597,0.0002,0.000200390625,1.24598671410067,1.40117276997041,4829.69054737219,5786.23940168676,1.12454872440735,1.19805593027798,1
MB-015,0.3,1,0.789299282306995,1.02728204091087,2e-06,0.957654065426597,0.0002,0.000200390625,1.24598671410067,1.40117276997041,4829.69054737219,5786.23940168676,1.12454872440735,1.19805593027798,1
MB-016,0.4,0.375,0.330108369689906,0.438503738382633,2e-06,0.957654065426597,0.0002,0.000200390625,0.217943071478655,0.285932795532869,880.007784614625,1322.26233205773,1.31196093361872,1.50255754002991,1
MB-017,0.4,0.375,0.330108369689906,0.438503738382633,2e-06,0.957654065426597,0.0002,0.000200390625,0.217943071478655,0.285932795532869,880.007784614625,1322.26233205773,1.31196093361872,1.50255754002991,1
MB-018,0.4,0.375,0.330108369689906,0.438503738382633,2e-06,0.957654065426597,0.0002,0.000200390625,0.217943071478655,0.285932795532869,880.007784614625,1322.26233205773,1.31196093361872,1.50255754002991,1
MB-019,0.4,0.375,0.330108369689906,0.438503738382633,2e-06,0.957654065426597,0.0002,0.000200390625,0.217943071478655,0.285932795532869,880.007784614625,1322.26233205773,1.31196093361872,1.50255754002991,1
MB-020,0.4,0.375,0.330108369689906,0.438503738382633,2e-06,0.957654065426597,0.0002,0.000200390625,0.217943071478655,0.285932795532869,880.007784614625,1322.26233205773,1.31196093361872,1.50255754002991,1
MB-021,0.4,0.5,0.531920978459584,0.770142435126785,2e-06,0.957654065426597,0.0002,0.000200390625,0.565879854650802,0.672587897156827,2714.45109265056,3448.00975441849,1.18857013839426,1.27024198879621,1
