estimator,metric,N_pairs,mean_paired_effect,median_paired_effect,ci95_low,ci95_high,fraction_improved,bootstrap_replicates
E1 RLS,C_MAPE,768,6.6638696567882,6.16102269980169,6.47324865483926,6.85797763757601,1,10000
E1 RLS,ESR_MAPE,768,0.973689818302496,0.85556036911264,0.923516433528045,1.02651596329371,0.958333333333333,10000
E1 RLS,C_p95,768,10.6903131454523,6.16102269980169,10.1534348204714,11.0367846420501,1,10000
E1 RLS,ESR_p95,768,1.97050842835795,0.85556036911264,1.81820993523307,2.10360398988985,0.958333333333333,10000
E1 RLS,timing_failure,768,0.00390625,0,0,0.00911458333333333,0.00390625,10000
E1 RLS,convergence,768,652.201822916667,1003,620.606770833333,683.751302083333,0.986979166666667,10000
E2 Dual EKF,C_MAPE,768,6.71132411618707,6.19202821045195,6.52269769159797,6.89758230157919,1,10000
E2 Dual EKF,ESR_MAPE,768,0.0605290478330684,0.121620272341905,-0.0314616523940371,0.153393616024969,0.561197916666667,10000
E2 Dual EKF,C_p95,768,10.8605755259645,6.19202821045195,10.2145008221307,11.2549691781609,1,10000
E2 Dual EKF,ESR_p95,768,-0.758299891537887,0.121620272341905,-1.42810192275556,-0.144779895558792,0.561197916666667,10000
E2 Dual EKF,timing_failure,768,-0.0234375,0,-0.0364583333333333,-0.01171875,0.00390625,10000
E2 Dual EKF,convergence,768,649.970052083333,1003,616.479166666667,682.548828125,0.907552083333333,10000
E3 LTV/Joseph,C_MAPE,768,6.73776105634078,6.21174242094796,6.55424309313902,6.92682878222072,1,10000
E3 LTV/Joseph,ESR_MAPE,768,0.577815574851479,0.584593798373156,0.499058709745717,0.65646383253962,0.819010416666667,10000
E3 LTV/Joseph,C_p95,768,10.8704797192986,6.21174242094796,10.2900847055502,11.3100078695399,1,10000
E3 LTV/Joseph,ESR_p95,768,0.224327536528891,0.584593798373156,-0.767091198984783,0.936466756043884,0.819010416666667,10000
E3 LTV/Joseph,timing_failure,768,-0.0143229166666667,0,-0.0240885416666667,-0.00520833333333333,0.00130208333333333,10000
E3 LTV/Joseph,convergence,768,690.634114583333,1008,657.412760416667,722.466145833333,0.932291666666667,10000
