method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,time_s,C_true,ESR_true,C_est,ESR_est
M3 Dual EKF,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.08,step,0.04096,0.0001,0.05,0.000100237339775152,0.0508643688397994
M3 Dual EKF,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.08,step,0.06144,0.0001,0.05,0.000100041096759736,0.0505521801933372
M3 Dual EKF,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.08,step,0.08,0.0001,0.05,0.000100096948646727,0.0511505175499903
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.02048,0.0001,0.05,0.000100387699234319,0.0502194772094879
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.04096,0.0001,0.05,0.00010039646479855,0.050208381273577
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.06144,0.0001,0.05,9.99059065279379e-05,0.0501618075933632
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.08,0.0001,0.05,9.97549394300831e-05,0.0501687041797363
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.02048,0.0001,0.05,0.000100303653500865,0.0508669246458701
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.04096,0.0001,0.05,0.000100287700715082,0.0511048637645746
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.06144,0.0001,0.05,0.000100184595078997,0.050498598591998
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.08,0.0001,0.05,9.99959702471395e-05,0.0502262137245496
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.02048,0.0001,0.05,0.000100301243054772,0.0467687989106403
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.04096,0.0001,0.05,0.000100248724923848,0.0513138565052295
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.06144,0.0001,0.05,0.000100152017814054,0.0506210649896057
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.08,0.0001,0.05,0.000100021597047958,0.051537204874575
