run_id,noise_target,SNR_dB,seed,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,failed
1,vT,20,1,RLS,6.03920527031907e-05,39.6079472968093,0.0756649662684204,51.3299325368408,1
1,vT,20,1,TS_LTVKF,7.30259346388349e-05,26.9740653611651,0.0458633553279994,8.27328934400129,1
2,vT,20,2,RLS,6.0829665832756e-05,39.170334167244,0.0716765778906594,43.3531557813188,1
2,vT,20,2,TS_LTVKF,8.57023830481171e-05,14.2976169518829,0.0374387083020207,25.1225833959586,1
3,vT,20,3,RLS,6.46952484122978e-05,35.3047515877022,0.0818960380411601,63.7920760823201,1
3,vT,20,3,TS_LTVKF,9.81899506704681e-05,1.81004932953189,0.0430163913828547,13.9672172342905,0
4,vT,20,4,RLS,6.80402119519477e-05,31.9597880480523,0.0781393124190205,56.278624838041,1
4,vT,20,4,TS_LTVKF,9.33189220699554e-05,6.68107793004462,0.0358582350449617,28.2835299100767,1
5,vT,20,5,RLS,6.4995533549114e-05,35.004466450886,0.158907348220398,217.814696440796,1
5,vT,20,5,TS_LTVKF,8.98384514639548e-05,10.1615485360452,0.0573008922745058,14.6017845490116,1
6,vT,20,6,RLS,8.57076129458193e-05,14.2923870541807,0.0927091624922687,85.4183249845373,1
6,vT,20,6,TS_LTVKF,8.97305869815431e-05,10.2694130184569,0.0602328623034631,20.4657246069261,1
7,vT,20,7,RLS,7.02803345812764e-05,29.7196654187236,0.143374351697364,186.748703394727,1
7,vT,20,7,TS_LTVKF,7.45606359460971e-05,25.4393640539029,0.0499757843195099,0.0484313609802833,1
8,vT,20,8,RLS,7.31911246972892e-05,26.8088753027109,0.122843126215086,145.686252430173,1
8,vT,20,8,TS_LTVKF,7.89910824483429e-05,21.0089175516571,0.0609196182590441,21.8392365180883,1
9,vT,20,9,RLS,7.79697478042751e-05,22.0302521957249,0.0973789196323855,94.757839264771,1
9,vT,20,9,TS_LTVKF,8.07309839568489e-05,19.2690160431511,0.039385252529823,21.229494940354,1
10,vT,20,10,RLS,6.6098011718251e-05,33.901988281749,0.162842259233062,225.684518466124,1
10,vT,20,10,TS_LTVKF,8.33951090818977e-05,16.6048909181023,0.0460896918643866,7.82061627122675,1
11,vT,20,11,RLS,6.85062340070812e-05,31.4937659929188,0.140254776401555,180.50955280311,1
11,vT,20,11,TS_LTVKF,9.26658714179871e-05,7.33412858201292,0.0308447529877416,38.3104940245169,1
12,vT,20,12,RLS,0.000110663747633946,10.6637476339464,0.0287237485402081,42.5525029195838,1
12,vT,20,12,TS_LTVKF,7.84784641143869e-05,21.5215358856131,0.0497414839996564,0.517032000687201,1
13,vT,20,13,RLS,7.72593445317764e-05,22.7406554682236,0.0248887163573907,50.2225672852186,1
13,vT,20,13,TS_LTVKF,7.96143747008141e-05,20.3856252991859,0.0763746411344811,52.7492822689622,1
14,vT,20,14,RLS,0.000121416817104707,21.4168171047072,0.0806973732488376,61.3947464976753,1
14,vT,20,14,TS_LTVKF,7.88958062218325e-05,21.1041937781675,0.0365769562912087,26.8460874175826,1
15,vT,20,15,RLS,7.11401269857527e-05,28.8598730142473,0.133501897494033,167.003794988066,1
15,vT,20,15,TS_LTVKF,8.0243007217446e-05,19.7569927825541,0.0581267394407457,16.2534788814914,1
16,vT,20,16,RLS,7.35822860070547e-05,26.4177139929453,0.162050972627217,224.101945254434,1
16,vT,20,16,TS_LTVKF,6.62760970924373e-05,33.7239029075627,0.0506973203963761,1.39464079275213,1
17,vT,20,17,RLS,7.60794891595129e-05,23.9205108404871,0.0882930822874351,76.5861645748701,1
17,vT,20,17,TS_LTVKF,9.55184883765426e-05,4.48151162345746,0.0442263406467594,11.5473187064812,0
18,vT,20,18,RLS,8.67078046405013e-05,13.2921953594987,0.044594903312139,10.810193375722,1
18,vT,20,18,TS_LTVKF,8.19089959382737e-05,18.0910040617263,0.0595867493629459,19.1734987258918,1
19,vT,20,19,RLS,6.40208748511537e-05,35.9791251488463,0.0408102893943238,18.3794212113525,1
19,vT,20,19,TS_LTVKF,9.02931215370176e-05,9.70687846298244,0.0376745359541529,24.6509280916942,1
20,vT,20,20,RLS,7.46655883089576e-05,25.3344116910424,0.102243522733167,104.487045466335,1
20,vT,20,20,TS_LTVKF,8.28894668869841e-05,17.1105331130159,0.0470205066020075,5.95898679598508,1
21,vT,30,1,RLS,6.79971462564487e-05,32.0028537435513,0.033895676288106,32.2086474237881,1
21,vT,30,1,TS_LTVKF,8.63856800803358e-05,13.6143199196642,0.049378298720934,1.24340255813192,1
22,vT,30,2,RLS,7.36289881272508e-05,26.3710118727492,0.0318933262364378,36.2133475271244,1
22,vT,30,2,TS_LTVKF,9.27139680939664e-05,7.28603190603359,0.0461221603844568,7.75567923108647,0
23,vT,30,3,RLS,5.74865058803228e-05,42.5134941196772,0.0462004645129943,7.59907097401141,1
23,vT,30,3,TS_LTVKF,9.82352590722397e-05,1.76474092776031,0.0480105037933224,3.97899241335526,0
24,vT,30,4,RLS,5.88424393041559e-05,41.1575606958441,0.0608377313719375,21.6754627438749,1
24,vT,30,4,TS_LTVKF,9.53314696806068e-05,4.6685303193932,0.0459481388609204,8.10372227815924,0
25,vT,30,5,RLS,7.83159239446059e-05,21.6840760553941,0.119248949030811,138.497898061622,1
25,vT,30,5,TS_LTVKF,9.51642865341592e-05,4.83571346584083,0.0535354401138675,7.07088022773508,0
26,vT,30,6,RLS,9.66577047918583e-05,3.34229520814173,0.0850467295322086,70.0934590644172,1
26,vT,30,6,TS_LTVKF,9.40384659897739e-05,5.9615340102261,0.0546943411400115,9.38868228002292,0
27,vT,30,7,RLS,6.24547401468612e-05,37.5452598531388,0.0734832686724807,46.9665373449614,1
27,vT,30,7,TS_LTVKF,8.72923849281256e-05,12.7076150718744,0.0505893475318522,1.17869506370432,1
28,vT,30,8,RLS,7.98447585842839e-05,20.1552414157161,0.0946896016770489,89.3792033540979,1
28,vT,30,8,TS_LTVKF,8.95332762031929e-05,10.4667237968071,0.0548277385758178,9.65547715163559,1
29,vT,30,9,RLS,6.79875126478084e-05,32.0124873521916,0.0694900624675451,38.9801249350903,1
29,vT,30,9,TS_LTVKF,9.07855422613335e-05,9.21445773866655,0.0468209953200389,6.35800935992227,0
30,vT,30,10,RLS,6.67479437468023e-05,33.2520562531977,0.112655803318477,125.311606636954,1
30,vT,30,10,TS_LTVKF,9.10653434761175e-05,8.93465652388249,0.0483039115912316,3.39217681753675,0
31,vT,30,11,RLS,9.51578521343598e-05,4.8421478656402,0.115407845453171,130.815690906342,1
31,vT,30,11,TS_LTVKF,9.62278430669917e-05,3.7721569330083,0.0435304426976936,12.9391146046128,0
32,vT,30,12,RLS,0.000116795086591324,16.795086591324,0.0143850750425966,71.2298499148067,1
32,vT,30,12,TS_LTVKF,8.92210410734526e-05,10.7789589265474,0.0505065136365363,1.01302727307264,1
