scenario,algorithm,cycle,C_true_factor,ESR_true_factor,C_est_factor,ESR_est_factor
load_25_to_75,TS-SLTVKE,440,1,1,1.00001494834448,0.99999765019551
load_25_to_75,TS-SLTVKE,441,1,1,1.00001455496699,0.999997727491711
load_25_to_75,TS-SLTVKE,442,1,1,1.00001417194155,0.999997802245273
load_25_to_75,TS-SLTVKE,443,1,1,1.00001379899572,0.999997874539836
load_25_to_75,TS-SLTVKE,444,1,1,1.00001343586425,0.999997944456289
load_25_to_75,TS-SLTVKE,445,1,1,1.00001308228888,0.999998012072858
load_25_to_75,TS-SLTVKE,446,1,1,1.00001273801812,0.999998077465199
load_25_to_75,TS-SLTVKE,447,1,1,1.00001240280711,0.999998140706475
load_25_to_75,TS-SLTVKE,448,1,1,1.00001207641745,0.999998201867446
load_25_to_75,TS-SLTVKE,449,1,1,1.00001175861699,0.999998261016543
load_25_to_75,TS-SLTVKE,450,1,1,1.0000114491797,0.999998318219946
load_25_to_75,TS-SLTVKE,451,1,1,1.0000111478855,0.999998373541659
load_25_to_75,TS-SLTVKE,452,1,1,1.00001085452009,0.999998427043578
load_25_to_75,TS-SLTVKE,453,1,1,1.00001056887483,0.999998478785565
load_25_to_75,TS-SLTVKE,454,1,1,1.00001029074654,0.999998528825514
load_25_to_75,TS-SLTVKE,455,1,1,1.00001001993742,0.999998577219412
load_25_to_75,TS-SLTVKE,456,1,1,1.00000975625486,0.999998624021405
load_25_to_75,TS-SLTVKE,457,1,1,1.00000949951131,0.999998669283858
load_25_to_75,TS-SLTVKE,458,1,1,1.00000924952417,0.999998713057416
load_25_to_75,TS-SLTVKE,459,1,1,1.00000900611564,0.999998755391053
load_25_to_75,TS-SLTVKE,460,1,1,1.0000087691126,0.999998796332137
load_25_to_75,TS-SLTVKE,461,1,1,1.00000853834648,0.999998835926475
load_25_to_75,TS-SLTVKE,462,1,1,1.00000831365315,0.999998874218367
load_25_to_75,TS-SLTVKE,463,1,1,1.0000080948728,0.999998911250658
load_25_to_75,TS-SLTVKE,464,1,1,1.00000788184983,0.999998947064781
load_25_to_75,TS-SLTVKE,465,1,1,1.00000767443273,0.999998981700808
load_25_to_75,TS-SLTVKE,466,1,1,1.00000747247398,0.999999015197492
load_25_to_75,TS-SLTVKE,467,1,1,1.00000727582992,0.999999047592311
load_25_to_75,TS-SLTVKE,468,1,1,1.00000708436071,0.999999078921511
load_25_to_75,TS-SLTVKE,469,1,1,1.00000689793017,0.999999109220146
load_25_to_75,TS-SLTVKE,470,1,1,1.00000671640569,0.999999138522115
load_25_to_75,TS-SLTVKE,471,1,1,1.00000653965817,0.999999166860203
load_25_to_75,TS-SLTVKE,472,1,1,1.00000636756191,0.999999194266117
load_25_to_75,TS-SLTVKE,473,1,1,1.00000619999449,0.999999220770521
load_25_to_75,TS-SLTVKE,474,1,1,1.00000603683674,0.99999924640307
load_25_to_75,TS-SLTVKE,475,1,1,1.00000587797261,0.999999271192443
load_25_to_75,TS-SLTVKE,476,1,1,1.00000572328912,0.999999295166376
load_25_to_75,TS-SLTVKE,477,1,1,1.00000557267625,0.999999318351692
load_25_to_75,TS-SLTVKE,478,1,1,1.00000542602688,0.999999340774334
load_25_to_75,TS-SLTVKE,479,1,1,1.0000052832367,0.999999362459389
load_25_to_75,TS-SLTVKE,480,1,1,1.00000514420415,0.999999383431119
load_25_to_75,TS-SLTVKE,481,1,1,1.00000500883036,0.99999940371299
load_25_to_75,TS-SLTVKE,482,1,1,1.00000487701903,0.999999423327695
load_25_to_75,TS-SLTVKE,483,1,1,1.00000474867643,0.999999442297179
load_25_to_75,TS-SLTVKE,484,1,1,1.00000462371126,0.999999460642666
load_25_to_75,TS-SLTVKE,485,1,1,1.00000450203464,0.999999478384684
load_25_to_75,TS-SLTVKE,486,1,1,1.00000438356005,0.999999495543082
load_25_to_75,TS-SLTVKE,487,1,1,1.00000426820321,0.99999951213706
load_25_to_75,TS-SLTVKE,488,1,1,1.00000415588207,0.999999528185183
load_25_to_75,TS-SLTVKE,489,1,1,1.00000404651675,0.999999543705407
load_25_to_75,TS-SLTVKE,490,1,1,1.00000394002947,0.999999558715098
load_25_to_75,TS-SLTVKE,491,1,1,1.00000383634448,0.999999573231048
load_25_to_75,TS-SLTVKE,492,1,1,1.00000373538805,0.999999587269501
load_25_to_75,TS-SLTVKE,493,1,1,1.00000363708836,0.999999600846162
load_25_to_75,TS-SLTVKE,494,1,1,1.00000354137551,0.999999613976222
load_25_to_75,TS-SLTVKE,495,1,1,1.00000344818142,0.999999626674373
load_25_to_75,TS-SLTVKE,496,1,1,1.0000033574398,0.999999638954821
load_25_to_75,TS-SLTVKE,497,1,1,1.00000326908612,0.999999650831307
load_25_to_75,TS-SLTVKE,498,1,1,1.00000318305754,0.99999966231712
load_25_to_75,TS-SLTVKE,499,1,1,1.00000309929287,0.999999673425109
load_25_to_75,TS-SLTVKE,500,1,1,1.00000301773253,0.999999684167704
load_25_to_75,TS-SLTVKE,501,1,1,1.00000293831852,0.999999694556925
load_25_to_75,TS-SLTVKE,502,1,1,1.00000286099434,0.999999704604394
load_25_to_75,TS-SLTVKE,503,1,1,1.00000278570502,0.999999714321355
