case_id,algorithm,noise_profile,skew_ns,seed,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,projection_saturation,failure_flag,failure_reason,mu_C,mu_R
PV1-001,B4 Cuk-adapted wavelet-KF,nominal,20,31001,8e-05,0.05,8.01090886515189e-05,0.0494673971154769,0.13636081439866,1.06520576904617,0.13636081439866,-1.06520576904617,1.14694751426595e-12,1.10023583243959e-05,6,0,0,,723287.652065345,98279728.3438777
PV1-001,TS-SLTVKE,nominal,20,31001,8e-05,0.05,8.00235406631867e-05,0.0500088708716848,0.0294258289834292,0.0177417433695343,0.0294258289834292,0.0177417433695343,1.26974848735609e-14,2.25652251460285e-07,2,0,0,,723287.652065345,98279728.3438777
PV1-001,B0 Closed-form,nominal,50,41001,8e-05,0.05,8.01269788137015e-05,0.0492626891933602,0.158723517126888,1.47462161327963,0.158723517126888,-1.47462161327963,0.000972121097847707,1.38640504881533e-05,256,0,0,,723287.652065345,98279728.3438777
PV1-001,B1 RLS,nominal,50,41001,8e-05,0.05,7.99668615358317e-05,0.049952911046335,0.0414230802103462,0.0941779073300036,-0.0414230802103462,-0.0941779073300036,8.41943946802592e-09,0.0763467429067266,12,0,0,,723287.652065345,98279728.3438777
PV1-001,B2 Augmented EKF,nominal,50,41001,8e-05,0.05,8.24323462242096e-05,0.0495999899138679,3.04043278026195,0.800020172264132,3.04043278026195,-0.800020172264132,3.69315875483386e-10,6.69929696144958e-06,18,0,0,,723287.652065345,98279728.3438777
PV1-001,B3 Dual EKF,nominal,50,41001,8e-05,0.05,7.99448512561304e-05,0.0498312933229271,0.068935929837063,0.33741335414586,-0.068935929837063,-0.33741335414586,1.30875381523585e-14,2.23923190665787e-06,15,0,0,,723287.652065345,98279728.3438777
PV1-001,B4 Cuk-adapted wavelet-KF,nominal,50,41001,8e-05,0.05,8.0094642479248e-05,0.049491347783261,0.118303099060053,1.01730443347793,0.118303099060053,-1.01730443347793,1.14612041610112e-12,1.10023583243959e-05,6,0,0,,723287.652065345,98279728.3438777
PV1-001,TS-SLTVKE,nominal,50,41001,8e-05,0.05,7.99418388104425e-05,0.0499739191806243,0.0727014869468776,0.0521616387513385,-0.0727014869468776,-0.0521616387513385,1.26457090903899e-14,2.26424037385528e-07,2,0,0,,723287.652065345,98279728.3438777
PV1-001,B0 Closed-form,nominal,100,51001,8e-05,0.05,8.02081776889167e-05,0.0497606515519612,0.260222111145862,0.478696896077602,0.260222111145862,-0.478696896077602,0.00114310977745835,3.75939013541745e-05,256,0,0,,723287.652065345,98279728.3438777
PV1-001,B1 RLS,nominal,100,51001,8e-05,0.05,7.99888110361796e-05,0.0500008838699304,0.0139862047755058,0.00176773986070022,-0.0139862047755058,0.00176773986070022,8.42868722828395e-09,0.0763467429067266,16,0,0,,723287.652065345,98279728.3438777
PV1-001,B2 Augmented EKF,nominal,100,51001,8e-05,0.05,8.41043736417673e-05,0.0500828660026594,5.13046705220912,0.165732005318706,5.13046705220912,0.165732005318706,3.7987726802562e-10,6.72101774749777e-06,36,0,0,,723287.652065345,98279728.3438777
PV1-001,B3 Dual EKF,nominal,100,51001,8e-05,0.05,7.99257869413733e-05,0.0501537467567309,0.09276632328343,0.307493513461765,-0.09276632328343,0.307493513461765,1.30750587639571e-14,2.23923190665787e-06,15,0,0,,723287.652065345,98279728.3438777
PV1-001,B4 Cuk-adapted wavelet-KF,nominal,100,51001,8e-05,0.05,8.00111292393128e-05,0.0497584579364694,0.0139115491409466,0.483084127061245,0.0139115491409466,-0.483084127061245,1.14134773078784e-12,1.10023583243959e-05,16,0,0,,723287.652065345,98279728.3438777
PV1-001,TS-SLTVKE,nominal,100,51001,8e-05,0.05,7.99416182940933e-05,0.0506406515229351,0.0729771323834446,1.28130304587022,-0.0729771323834446,1.28130304587022,1.26455695602462e-14,2.39082186901095e-07,274,0,0,,723287.652065345,98279728.3438777
PV1-001,B0 Closed-form,5mV_2mA,0,22001,8e-05,0.05,8.01591541498806e-05,0.0500313687868271,0.1989426873507,0.0627375736542701,0.1989426873507,0.0627375736542701,0.0280574184644668,0.000162041024396227,256,0,0,,28931.5060826138,3931631.30409859
PV1-001,B1 RLS,5mV_2mA,0,22001,8e-05,0.05,7.96657896714618e-05,0.0496299242393662,0.417762910672813,0.740151521267579,-0.417762910672813,-0.740151521267579,8.29335840165658e-09,0.0763467429067266,21,0,0,,28931.5060826138,3931631.30409859
PV1-001,B2 Augmented EKF,5mV_2mA,0,22001,8e-05,0.05,8.08122670808903e-05,0.0513973886434534,1.01533385111293,2.79477728690687,1.01533385111293,2.79477728690687,5.2805517116763e-10,9.92074829842179e-06,1024,0,0,,28931.5060826138,3931631.30409859
PV1-001,B3 Dual EKF,5mV_2mA,0,22001,8e-05,0.05,7.95587796335569e-05,0.049843755501481,0.551525458053844,0.312488997038049,-0.551525458053844,-0.312488997038049,3.03560287897977e-13,1.16979715514968e-05,21,0,0,,28931.5060826138,3931631.30409859
PV1-001,B4 Cuk-adapted wavelet-KF,5mV_2mA,0,22001,8e-05,0.05,7.97753185142922e-05,0.0503701216906993,0.280851857134776,0.740243381398498,-0.280851857134776,0.740243381398498,1.12795186740231e-12,1.10023583243959e-05,100,0,0,,28931.5060826138,3931631.30409859
PV1-001,TS-SLTVKE,5mV_2mA,0,22001,8e-05,0.05,8.01219658265164e-05,0.0509886735781051,0.152457283145535,1.97734715621029,0.152457283145535,1.97734715621029,2.84776643632197e-13,1.16487304388719e-06,100,0,0,,28931.5060826138,3931631.30409859
PV1-001,B0 Closed-form,5mV_2mA,20,32001,8e-05,0.05,7.99272129469979e-05,0.0500213683728159,0.0909838162526236,0.0427367456317801,-0.0909838162526236,0.0427367456317801,0.0210518307108407,0.000124527399604284,256,0,0,,28931.5060826138,3931631.30409859
PV1-001,B1 RLS,5mV_2mA,20,32001,8e-05,0.05,7.98653199682096e-05,0.0496387369579483,0.168350039738063,0.722526084103406,-0.168350039738063,-0.722526084103406,8.37675698293707e-09,0.0763467429067266,52,0,0,,28931.5060826138,3931631.30409859
PV1-001,B2 Augmented EKF,5mV_2mA,20,32001,8e-05,0.05,9.85966212188033e-05,0.0482159894155779,23.2457765235042,3.5680211688443,23.2457765235042,-3.5680211688443,5.07956851058737e-10,1.01914354318232e-05,1024,0,0,,28931.5060826138,3931631.30409859
PV1-001,B3 Dual EKF,5mV_2mA,20,32001,8e-05,0.05,7.98107574086587e-05,0.0501137724477388,0.236553239176671,0.227544895477563,-0.236553239176671,0.227544895477563,3.07424329245361e-13,1.16979715514968e-05,50,0,0,,28931.5060826138,3931631.30409859
PV1-001,B4 Cuk-adapted wavelet-KF,5mV_2mA,20,32001,8e-05,0.05,7.98444543093247e-05,0.0492783002194853,0.194432113344166,1.44339956102948,-0.194432113344166,-1.44339956102948,1.13186702719978e-12,1.10023583243959e-05,40,0,0,,28931.5060826138,3931631.30409859
PV1-001,TS-SLTVKE,5mV_2mA,20,32001,8e-05,0.05,7.98387729229166e-05,0.049783021043729,0.201533846354235,0.433957912542027,-0.201533846354235,-0.433957912542027,2.80771741412722e-13,1.16487304388719e-06,28,0,0,,28931.5060826138,3931631.30409859
PV1-001,B0 Closed-form,5mV_2mA,50,42001,8e-05,0.05,8.08579893694117e-05,0.049453758761338,1.07248671176464,1.09248247732391,1.07248671176464,-1.09248247732391,0.0253978266213557,0.000145171894117438,256,0,0,,28931.5060826138,3931631.30409859
PV1-001,B1 RLS,5mV_2mA,50,42001,8e-05,0.05,8.02553463281837e-05,0.049004168684798,0.319182910229597,1.99166263040391,0.319182910229597,-1.99166263040391,8.54159283579519e-09,0.0763467429067266,213,0,0,,28931.5060826138,3931631.30409859
PV1-001,B2 Augmented EKF,5mV_2mA,50,42001,8e-05,0.05,7.2599203580044e-05,0.050811031447662,9.25099552494507,1.62206289532402,-9.25099552494507,1.62206289532402,4.79715416203178e-10,1.00579111200288e-05,1024,0,0,,28931.5060826138,3931631.30409859
PV1-001,B3 Dual EKF,5mV_2mA,50,42001,8e-05,0.05,8.04919634839965e-05,0.0489324070395503,0.614954354995612,2.13518592089948,0.614954354995612,-2.13518592089948,3.18055266283159e-13,1.16979715514968e-05,99,0,0,,28931.5060826138,3931631.30409859
