method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,time_s,C_true,ESR_true,C_est,ESR_est
M3 Dual EKF,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.08,step,0.04096,0.0001,0.05,0.000100237339775152,0.0508713567938906
M3 Dual EKF,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.08,step,0.06144,0.0001,0.05,0.000100041096759736,0.0505494785558877
M3 Dual EKF,Equal-Report,TRANS-3,FULL_SWITCHING_MODEL_A_EQUATIONS,Vin_step,0.08,step,0.08,0.0001,0.05,0.000100096948646727,0.0511500261738993
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.02048,0.0001,0.05,0.000100387699234319,0.0502202449916515
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.04096,0.0001,0.05,0.00010039646479855,0.0502093747896324
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.06144,0.0001,0.05,9.99059065279379e-05,0.0501625960624346
M1 TS-D-RLS,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.08,0.0001,0.05,9.97549394300831e-05,0.0501695279801771
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.02048,0.0001,0.05,0.000100303653500865,0.0508698518107298
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.04096,0.0001,0.05,0.000100287700715082,0.051109076821761
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.06144,0.0001,0.05,0.000100184595078997,0.0505010633453741
M2 TS-SLTVKE,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.08,0.0001,0.05,9.99959702471395e-05,0.0502270118163717
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.02048,0.0001,0.05,0.000100301243054772,0.0467775993806321
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.04096,0.0001,0.05,0.000100248724923848,0.051320086262777
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.06144,0.0001,0.05,0.000100152017814054,0.0506179659198778
M3 Dual EKF,Equal-Report,TRANS-4,FULL_SWITCHING_MODEL_A_EQUATIONS,duty_step,0.08,step,0.08,0.0001,0.05,0.000100021597047958,0.0515383954327094
