test_id,model_type,Vin,D,load_percent,fs_Hz,C_true_F,ESR_true_Ohm,noise_SNR_dB,adc_bits,samples_per_cycle,sync_error_s,ESL_H,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,rank_Phi,cond_Phi,rank_Obs,cond_Obs,min_singular_Obs,status,notes
OP_13_1,Model_A,19.2,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00709549933697318,NaN,2.57710239028631,NaN,2,1.00492619982132,3,7151.45162466171,0.000552947926662722,PASS,CCM operating sweep; load fraction=0.5
OP_13_2,Model_A,19.2,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00186473102851137,NaN,1.04878676407548,9.00000000000033e-06,2,1.00492619982132,3,7151.45162466171,0.000552947926662722,PASS,CCM operating sweep; load fraction=0.5
OP_14_1,Model_A,19.2,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00061281025471871,NaN,1.3494876113871,NaN,2,1.00213083616278,3,8985.19226213234,0.00051826477398389,PASS,CCM operating sweep; load fraction=0.75
OP_14_2,Model_A,19.2,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00512385546962424,NaN,1.05326605255003,8.81000000000002e-05,2,1.00213083616278,3,8985.19226213234,0.00051826477398389,PASS,CCM operating sweep; load fraction=0.75
OP_15_1,Model_A,19.2,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00135239189421599,NaN,0.818850432369145,NaN,2,1.00120319910316,3,11791.4710049958,0.000463546151926562,PASS,CCM operating sweep; load fraction=1
OP_15_2,Model_A,19.2,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00586943771186954,NaN,1.05561805106662,9.00000000000033e-06,2,1.00120319910316,3,11791.4710049958,0.000463546151926562,PASS,CCM operating sweep; load fraction=1
OP_16_DCM,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.21752603303491,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_17_1,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0280210033694606,NaN,4.04823385431474,NaN,2,1.03243172210043,3,5410.25625710309,0.000687908662632967,PASS,CCM operating sweep; load fraction=0.25
OP_17_2,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0385982716077038,NaN,1.06255156829537,1.10000000000002e-05,2,1.03243172210043,3,5410.25625710309,0.000687908662632967,PASS,CCM operating sweep; load fraction=0.25
OP_18_1,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00433205285460536,NaN,1.13212249667715,NaN,2,1.00647817081036,3,7805.68461210809,0.000637317165927745,PASS,CCM operating sweep; load fraction=0.5
OP_18_2,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0185397351339489,NaN,1.06981050713502,6.08000000000002e-05,2,1.00647817081036,3,7805.68461210809,0.000637317165927745,PASS,CCM operating sweep; load fraction=0.5
OP_19_1,Model_A,19.2,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00171231092906954,NaN,0.505843069370859,NaN,2,1.00235410428513,3,12463.8491435411,0.000523477497699625,PASS,CCM operating sweep; load fraction=0.75
