test_group,Vin_V,D,load_fraction,C_F,ESR_Ohm,ccm_margin_A,window_N,rank_min,rank_median,sigma_min_worst,sigma_min_median,condition_worst,condition_median
load_sweep,24,0.4,0.1,0.0001,0.05,-0.251297832197668,3,3,3,2.1027675906465e-05,2.1332135424467e-05,85081.0774784704,82945.3230880195
load_sweep,24,0.4,0.1,0.0001,0.05,-0.251297832197668,5,3,3,9.65452078112232e-05,9.78196650989105e-05,23873.5630657701,23325.4522804328
load_sweep,24,0.4,0.1,0.0001,0.05,-0.251297832197668,10,3,3,0.000595488299795279,0.000882017622051367,5446.80686053756,3604.97717168614
load_sweep,24,0.4,0.25,0.0001,0.05,-0.0736315130241442,3,3,3,2.0996835047125e-05,2.11952635980904e-05,90242.904675003,85657.3609850765
load_sweep,24,0.4,0.25,0.0001,0.05,-0.0736315130241442,5,3,3,9.64045781605412e-05,9.7214879213594e-05,25283.4478706346,24043.4533787575
load_sweep,24,0.4,0.25,0.0001,0.05,-0.0736315130241442,10,3,3,0.00059394175332808,0.000880288912177308,5745.79290005705,3789.42280402777
load_sweep,24,0.4,0.5,0.0001,0.05,0.219571001620611,3,3,3,2.07208650245758e-05,2.08434379036113e-05,103191.350518575,94578.6985444456
load_sweep,24,0.4,0.5,0.0001,0.05,0.219571001620611,5,3,3,9.50582822789969e-05,9.56793836347883e-05,28861.1087454687,26483.157500126
load_sweep,24,0.4,0.5,0.0001,0.05,0.219571001620611,10,3,3,0.00058530302572856,0.000870222021859513,6529.17537839072,4539.59715809998
load_sweep,24,0.4,0.75,0.0001,0.05,0.509521269044206,3,3,3,1.98789182925458e-05,2.03514853496533e-05,122180.621140075,109048.030167666
load_sweep,24,0.4,0.75,0.0001,0.05,0.509521269044206,5,3,3,9.12610998767183e-05,9.3437642269028e-05,34136.6692082125,30488.9324149801
load_sweep,24,0.4,0.75,0.0001,0.05,0.509521269044206,10,3,3,0.000562920028733232,0.000839369667409217,7701.71364703608,5767.28186140115
load_sweep,24,0.4,1,0.0001,0.05,0.796606535014482,3,3,3,1.85454120233145e-05,1.94513874715561e-05,148890.779869516,133697.778247133
load_sweep,24,0.4,1,0.0001,0.05,0.796606535014482,5,3,3,8.52068470007089e-05,8.93205519717741e-05,41572.46104318,37303.717565354
load_sweep,24,0.4,1,0.0001,0.05,0.796606535014482,10,3,3,0.00052662196794055,0.000775323035108392,9363.52860431404,7582.48729967814
operating,19.2,0.25,0.75,0.0001,0.05,0.0186548461022649,10,3,3,0.000232004815513997,0.000239057449064571,13985.6946119509,13447.8715418517
operating,19.2,0.25,1,0.0001,0.05,0.074806992369539,10,3,3,0.000231005163909466,0.000237350363097978,14261.7464391539,13524.3498032333
operating,19.2,0.35,0.5,0.0001,0.05,0.118052545138235,10,3,3,0.000374086925543891,0.000698492659555688,9298.95487736202,5289.39802664149
operating,19.2,0.35,0.75,0.0001,0.05,0.261000854485275,10,3,3,0.000367546634508128,0.000686145368519451,10018.9279551228,6071.45752332013
operating,19.2,0.35,1,0.0001,0.05,0.403483048612918,10,3,3,0.000357269394041355,0.000662749369479574,10966.5877289394,7134.05870029808
operating,19.2,0.45,0.25,0.0001,0.05,0.00509755065252405,10,3,3,0.000568523552032588,0.000701088709880474,6031.33434170803,5065.84258471835
operating,19.2,0.45,0.5,0.0001,0.05,0.344901709391013,10,3,3,0.000552947926662722,0.000684940296988468,7151.45162466171,5994.80552903811
operating,19.2,0.45,0.75,0.0001,0.05,0.68242118388862,10,3,3,0.00051826477398389,0.000642282851032719,8985.19226213234,7439.80365625799
operating,19.2,0.45,1,0.0001,0.05,1.01780944224823,10,3,3,0.000463546151926562,0.000571250494662135,11791.4710049958,9488.59713685437
operating,19.2,0.55,0.25,0.0001,0.05,0.190881896855,10,3,3,0.000687908662632967,0.000875012493253325,5410.25625710309,4028.51184033513
operating,19.2,0.55,0.5,0.0001,0.05,0.821633257640126,10,3,3,0.000637317165927745,0.000815512378190914,7805.68461210809,6182.84948719516
operating,19.2,0.55,0.75,0.0001,0.05,1.4120602092567,10,3,3,0.000523477497699625,0.000653480399111576,12463.8491435411,10725.7068044083
operating,19.2,0.55,1,0.0001,0.05,1.99953782269166,10,3,3,0.000394904359579812,0.000470582075130393,20849.8721032052,18380.1325634541
operating,19.2,0.65,0.25,0.0001,0.05,0.421868914186415,10,3,3,0.000657134673681429,0.00121167505544897,7064.59684057544,5261.78197227083
operating,19.2,0.65,0.5,0.0001,0.05,1.34979863148904,10,3,3,0.000488598215889308,0.000703882660401914,15922.9110810465,10597.8132962783
operating,19.2,0.65,0.75,0.0001,0.05,2.24295815700904,10,3,3,0.0003145570719646,0.00038662461175862,42246.618771852,23221.5876444435
operating,19.2,0.65,1,0.0001,0.05,3.12215382261995,10,3,3,0.000211239606085737,0.000246908348847962,88400.124382557,46681.2783364956
operating,24,0.25,0.75,0.0001,0.05,0.0233185576277042,10,3,3,0.000289945342361647,0.000298617097962009,11390.4120140451,10770.4929362706
operating,24,0.25,1,0.0001,0.05,0.0935087404617564,10,3,3,0.000288464727946714,0.000296279504633234,11699.5841735496,10862.3176512394
operating,24,0.35,0.5,0.0001,0.05,0.147565681422725,10,3,3,0.000466373524709259,0.000871420206586798,7824.98851541698,4547.87210516183
operating,24,0.35,0.75,0.0001,0.05,0.326251068106652,10,3,3,0.000455653391451141,0.000850812130094385,8658.08920929274,5449.25125766351
operating,24,0.35,1,0.0001,0.05,0.504353810765936,10,3,3,0.000439112448656143,0.000810887101185689,9758.46498263481,6676.21978360672
operating,24,0.45,0.25,0.0001,0.05,0.00637193831545259,10,3,3,0.00070985224809307,0.000875506636831032,5029.78428140419,4288.215546896
operating,24,0.45,0.5,0.0001,0.05,0.431127136738827,10,3,3,0.000684582936254176,0.000848163999118039,6335.34231414013,5204.98728795463
operating,24,0.45,0.75,0.0001,0.05,0.853026479861324,10,3,3,0.000626729877755605,0.00077579496578965,8482.12036936035,6693.69760588115
operating,24,0.45,1,0.0001,0.05,1.27226180281051,10,3,3,0.000540265352213268,0.000663073606999109,11860.1926557555,9108.78692513755
operating,24,0.55,0.25,0.0001,0.05,0.238602371069558,10,3,3,0.000857961484141616,0.00109264806864231,4665.25613978849,3397.84369620642
operating,24,0.55,0.5,0.0001,0.05,1.02704157205013,10,3,3,0.000773090557223364,0.000991539273754407,7435.8400281508,5887.55141237114
operating,24,0.55,0.75,0.0001,0.05,1.76507526157045,10,3,3,0.000596575158564047,0.00073999113709066,13080.2411020047,11166.8161268549
operating,24,0.55,1,0.0001,0.05,2.49942227836387,10,3,3,0.000425958367266315,0.000502297849178647,24009.9550522285,20494.3151529953
operating,24,0.65,0.25,0.0001,0.05,0.527336142733533,10,3,3,0.000805608021296893,0.00145081764655792,6574.53443399366,4858.38710791438
operating,24,0.65,0.5,0.0001,0.05,1.68724828936031,10,3,3,0.000547719220022664,0.000746833824425832,18488.3447816973,10846.6229951433
operating,24,0.65,0.75,0.0001,0.05,2.80369769626114,10,3,3,0.000330615168978637,0.000403183710125878,51463.0590715037,26519.6416241523
operating,24,0.65,1,0.0001,0.05,3.90269227827473,10,3,3,0.000216425201755122,0.000253560600839317,109167.981344026,55843.6837695992
operating,28.8,0.25,0.75,0.0001,0.05,0.0279822691536014,10,3,3,0.000347819485270975,0.000358040955280931,9694.38571457516,8987.82030368444
operating,28.8,0.25,1,0.0001,0.05,0.11221048855441,10,3,3,0.000345731243951898,0.000354962349974277,10051.1675384306,9095.39238226536
operating,28.8,0.35,0.5,0.0001,0.05,0.177078817707546,10,3,3,0.000557852543744482,0.00104323334035171,6898.47450037555,4091.68757876519
operating,28.8,0.35,0.75,0.0001,0.05,0.391501281727951,10,3,3,0.00054138930288903,0.00101116298199109,7839.38048380079,5096.45234608298
operating,28.8,0.35,1,0.0001,0.05,0.605224572919297,10,3,3,0.000516560820053876,0.000949055409266286,9088.7685483829,6478.75638484296
operating,28.8,0.45,0.25,0.0001,0.05,0.00764632597857669,10,3,3,0.000850650558545877,0.00104935911504121,4392.10063846122,3651.66492036264
operating,28.8,0.45,0.5,0.0001,0.05,0.517352564086534,10,3,3,0.000812117985106263,0.00100640511629154,5865.306136394,4605.55161331311
operating,28.8,0.45,0.75,0.0001,0.05,1.02363177583317,10,3,3,0.000724247271018969,0.000895396990612738,8318.49805791163,6285.31947226211
operating,28.8,0.45,1,0.0001,0.05,1.52671416337249,10,3,3,0.00060203894354814,0.000739426072744505,12391.3572757329,9065.98850008217
operating,28.8,0.55,0.25,0.0001,0.05,0.286322845282597,10,3,3,0.00102675232121782,0.00130954416861375,4208.73316013395,3001.1278577154
