delta_percent,GroupCount,mean_ESR_bias_percent,min_ESR_bias_percent,max_ESR_bias_percent
-1,5,1.02250687435862,0.92481443455541,1.17081810958899
-0.5,5,0.514856086045516,0.417654563024961,0.66242203868736
-0.25,5,0.262939153499135,0.165981243318125,0.410135266660894
0,5,0.0122818056155349,-0.0844337097901549,0.159109928494661
0.25,5,-0.237125380932008,-0.333599710513732,-0.0906634129726469
0.5,5,-0.48529173570568,-0.581526079393146,-0.33919410099964
1,5,-0.977938806320755,-1.07369674236634,-0.83256442723163
