adc_bits,voltage_LSB_V,current_LSB_A,samples_per_cycle,sample_phase_fraction,method,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status,edge_window_us,edge_points_per_side
12,0.0244200244200244,0.00244200244200244,8,0,old_TS_LTVKF,0.00015,0.0476363045279565,0.00015,50,0.0476363045279565,4.72739094408703,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0,TR_TS_LTVKF,0.000109535175474555,0.05,0.00010529002430429,5.29002430428995,0.05,0,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.0625,old_TS_LTVKF,0.00015,0.0529133422182623,0.00015,50,0.0529133422182623,5.82668443652452,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.0625,TR_TS_LTVKF,0.000111417217536852,0.05,0.000111348558332462,11.3485583324618,0.05,0,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.125,old_TS_LTVKF,0.00015,0.0542567013591853,0.00015,50,0.0542567013591853,8.51340271837062,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.125,TR_TS_LTVKF,0.000111574587412286,0.05,0.000111574587412286,11.5745874122863,0.05,0,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.1875,old_TS_LTVKF,0.00015,0.0488935773452182,0.00015,50,0.0488935773452182,2.21284530956352,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.1875,TR_TS_LTVKF,0.000110782560671778,0.05,0.000110782560671778,10.7825606717784,0.05,0,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.25,old_TS_LTVKF,0.00015,0.043165793194292,0.00015,50,0.043165793194292,13.6684136114161,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.25,TR_TS_LTVKF,0.000105823845681411,0.05,0.000102242178000416,2.24217800041639,0.05,0,PASS,6,3
12,0.0244200244200244,0.00244200244200244,8,0.3125,old_TS_LTVKF,0.00015,0.0444801735420655,0.00015,50,0.0444801735420655,11.039652915869,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,8,0.3125,TR_TS_LTVKF,0.000105793575557962,0.05,0.000101950608706302,1.95060870630177,0.05,0,PASS,6,3
